site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
遂昌民政局,丽水市,25,5,13,23,25,10,0.6,64,18,8,2026-05-24 19:00:00
云和监测楼,丽水市,32,5,14,30,32,19,0.3,68,25,14,2026-05-24 19:00:00
青田中学,丽水市,27,4,9,64,27,10,0.4,115,31,17,2026-05-24 19:00:00
松阳监测楼,丽水市,25,4,15,53,25,12,0.4,62,16,9,2026-05-24 19:00:00
遂昌中学,丽水市,37,7,10,23,37,21,0.6,54,21,11,2026-05-24 19:00:00
庆元监测楼,丽水市,24,2,8,29,24,16,0.7,41,17,8,2026-05-24 19:00:00
信访大楼,丽水市,24,6,20,74,23,14,0.5,70,32,17,2026-05-24 19:00:00
塔山小学,丽水市,24,4,14,74,23,10,0.4,123,40,24,2026-05-24 19:00:00
红星小学,丽水市,24,5,9,19,24,7,0.5,43,23,9,2026-05-24 19:00:00
庆元气象局,丽水市,22,5,7,30,22,14,0.7,41,16,9,2026-05-24 19:00:00
和平水厂,丽水市,22,5,12,59,20,15,0.3,66,19,9,2026-05-24 19:00:00
云和三中,丽水市,35,6,25,20,35,17,0.6,60,34,16,2026-05-24 19:00:00
粮食大楼,丽水市,19,9,9,49,19,11,0.6,48,18,8,2026-05-24 19:00:00
缙云中学,丽水市,22,7,29,70,22,9,0.5,80,20,9,2026-05-24 19:00:00
景宁县政府,丽水市,14,2,12,20,14,7,0.5,46,16,7,2026-05-24 19:00:00
龙泉环保大楼,丽水市,15,7,8,47,15,10,0.5,47,21,11,2026-05-24 19:00:00
临海环保大楼,台州市,76,9,29,107,64,48,0.7,136,41,32,2026-05-24 19:00:00
心湖站,台州市,45,5,9,96,37,31,0.4,95,39,32,2026-05-24 19:00:00
新生中学,台州市,21,5,17,37,21,14,0.6,63,17,9,2026-05-24 19:00:00
楚门中心小学,台州市,46,6,20,86,46,29,0.8,106,38,27,2026-05-24 19:00:00
之江高级中学,台州市,50,4,17,73,50,32,0.7,101,42,27,2026-05-24 19:00:00
育青中学,台州市,26,5,19,52,26,17,0.7,79,27,17,2026-05-24 19:00:00
温岭环监站,台州市,42,7,15,96,34,29,0.6,92,38,35,2026-05-24 19:00:00
仙居环监站,台州市,36,8,11,99,36,24,0.8,87,27,16,2026-05-24 19:00:00
三门环监楼,台州市,42,5,13,80,39,29,0.7,91,37,28,2026-05-24 19:00:00
天台实验中学,台州市,29,6,17,56,29,18,0.7,85,26,19,2026-05-24 19:00:00
玉环环监站,台州市,44,9,8,79,44,30,0.9,98,45,27,2026-05-24 19:00:00
巾山实验小学,台州市,62,5,20,113,62,41,0.7,138,50,35,2026-05-24 19:00:00
高级中学,嘉兴市,24,7,16,75,22,15,0.5,86,18,15,2026-05-24 19:00:00
