timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-17T1900,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,26,26,19,9,7,52,52,73,73,10,5,3,3,0.3,0.3
2026-06-17T1900,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,22,15,22,9,7,69,69,78,78,9,6,2,2,0.3,0.3
2026-06-17T1900,2695A,80.2899,41.1684,阿克苏地区,电视台,,42,30,47,22,26,133,133,127,127,2,6,3,3,0.5,0.6
2026-06-17T1900,2696A,80.2592,41.1541,阿克苏地区,艺术中心,,47,31,54,22,18,148,148,135,135,7,10,4,4,0.6,0.7
2026-06-17T1900,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,45,33,34,7,10,142,142,141,141,8,7,10,10,0.4,0.5
2026-06-17T1900,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,44,28,31,3,9,138,138,133,133,7,5,12,12,0.5,0.4
2026-06-17T1900,2708A,88.1266,47.8515,阿勒泰地区,市站,,39,17,23,3,3,122,122,116,116,12,9,7,7,0.1,0.1
2026-06-17T1900,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,37,14,25,3,6,118,118,114,114,4,7,6,6,0.3,0.3
2026-06-17T1900,2630A,80.1171,32.4999,阿里地区,阿里监测站,臭氧1小时(O3_1h),58,9,8,3,2,166,166,146,146,2,3,2,2,0.3,0.3
2026-06-17T1900,3192A,80.0906,32.5029,阿里地区,阿里藏医院,臭氧1小时(O3_1h),57,10,8,3,3,165,165,148,148,2,2,5,5,0.2,0.3
2026-06-17T1900,2644A,109.0088,32.6974,安康市,汉滨区检察院,,21,13,36,6,21,67,67,50,50,6,11,5,5,0.4,0.5
2026-06-17T1900,4054A,109.0324,32.6913,安康市,市邮政管理局,,23,12,35,8,23,72,72,60,60,5,13,3,5,0.5,0.6
2026-06-17T1900,2291A,117.0806,30.5181,安庆市,环科院,,41,28,27,3,16,131,131,157,156,5,11,8,10,0.6,0.7
2026-06-17T1900,2292A,117.0331,30.5118,安庆市,马山宾馆,,41,25,25,10,18,130,130,158,158,24,12,10,10,0.7,0.8
2026-06-17T1900,2294A,116.9897,30.6146,安庆市,安庆大学,臭氧1小时(O3_1h),57,30,28,15,17,165,165,181,181,5,9,4,5,0.4,0.4
2026-06-17T1900,3173A,117.0598,30.5351,安庆市,市人大,,50,24,26,9,17,160,160,173,173,10,12,6,6,0.5,0.5
2026-06-17T1900,3123A,105.9408,26.2431,安顺市,凤凰山,,23,NA,19,16,15,43,43,57,43,5,6,8,7,0.5,0.5
2026-06-17T1900,3124A,105.9443,26.2567,安顺市,金钟山,,26,NA,9,18,16,44,44,60,46,3,3,8,7,0.4,0.5
2026-06-17T1900,3125A,105.8983,26.248,安顺市,娄家坡,,32,NA,18,22,15,42,42,59,44,5,4,6,6,0.5,0.4
2026-06-17T1900,1819A,114.3552,36.1017,安阳市,红庙街,臭氧1小时(O3_1h),95,50,39,26,23,196,196,187,187,11,9,3,5,0.3,0.4
2026-06-17T1900,1820A,114.361,36.0681,安阳市,银杏小区,臭氧1小时(O3_1h),99,37,33,27,25,199,199,194,194,4,6,2,4,0.2,0.2
2026-06-17T1900,3141A,114.3921,36.0879,安阳市,信访局,臭氧1小时(O3_1h),102,42,41,27,25,204,204,200,200,12,9,1,2,0.3,0.3
2026-06-17T1900,3669A,114.4706,36.0634,安阳市,左辅环卫站,臭氧1小时(O3_1h),80,43,45,21,24,184,184,181,181,14,17,1,3,0.5,0.5
2026-06-17T1900,4117A,114.2918,36.0769,安阳市,钢三路198号,臭氧1小时(O3_1h),74,34,41,18,22,179,179,179,179,10,11,3,4,0.4,0.5
2026-06-17T1900,1748A,123.0441,41.1201,鞍山市,深沟寺,,50,47,38,35,26,95,95,90,90,12,9,5,5,0.7,0.6
2026-06-17T1900,1749A,123.011,41.0931,鞍山市,太阳城,细颗粒物(PM2.5),72,56,33,46,30,102,102,88,88,12,10,7,8,0.9,0.8
2026-06-17T1900,1750A,123.0483,41.1445,鞍山市,太平,颗粒物(PM10),56,58,43,36,25,106,106,92,92,13,11,4,4,0.9,0.7
2026-06-17T1900,1751A,122.964,41.0968,鞍山市,铁西三道街,细颗粒物(PM2.5),64,60,41,42,28,112,112,94,94,15,14,6,6,0.9,0.8
2026-06-17T1900,1753A,123.0219,41.0822,鞍山市,明达新区,细颗粒物(PM2.5),66,59,37,43,26,108,108,90,90,11,9,6,6,0.7,0.6
2026-06-17T1900,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,细颗粒物(PM2.5),80,59,37,50,31,103,103,89,89,12,12,6,7,0.7,0.7
2026-06-17T1900,2195A,107.4206,40.7609,巴彦淖尔市,附二中,,50,34,27,17,11,159,159,152,152,11,8,14,13,0.5,0.5
2026-06-17T1900,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,47,33,32,12,8,149,149,155,155,8,7,10,11,0.6,0.6
2026-06-17T1900,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),78,88,153,34,58,113,113,110,110,3,19,5,6,0.1,0.2
2026-06-17T1900,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),107,136,196,40,66,117,117,117,117,4,9,/,/,/,/
2026-06-17T1900,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),94,111,146,40,58,102,102,106,106,4,5,2,2,0.1,0.1
2026-06-17T1900,3181A,106.776805,31.852614,巴中市,市五中,,30,28,34,21,27,44,44,51,51,9,15,7,7,0.6,0.7
2026-06-17T1900,3183A,106.7419,31.8654,巴中市,圣泉水务公司,,30,27,33,21,28,46,46,57,57,18,17,8,8,0.9,0.8
2026-06-17T1900,3616A,106.7617,31.8343,巴中市,市中心医院,,30,25,34,21,27,51,51,60,60,13,16,8,7,0.7,0.6
2026-06-17T1900,2235A,122.7909,45.608,白城市,洮北区环保局,NA,NA,NA,23,NA,29,NA,NA,125,125,NA,10,NA,6,NA,0.5
