,O3,latitude,CO_level,SYWRW,NO2,PM10_color,O3_level,PM25_color,SO2,sitename,AQI,NO2_level,AQI_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,sitecode,AQI_color,districtname,O3_color,SO2_level,PM10,time
0,94,30.28,优,--,12,#00E400,优,#00E400,8,杭州市,30,优,优,330100,#00E400,120.15,#00E400,10,优,0.3,优,#00E400,330100,#00E400,杭州市,#00E400,优,21,2026-05-09 10:00:00
1,89,29.88,优,--,17,#00E400,优,#00E400,7,宁波市,28,优,优,330200,#00E400,121.55,#00E400,6,优,0.3,优,#00E400,330200,#00E400,宁波市,#00E400,优,23,2026-05-09 10:00:00
2,68,28,优,--,17,#00E400,优,#00E400,6,温州市,22,优,优,330300,#00E400,120.7,#00E400,9,优,0.2,优,#00E400,330300,#00E400,温州市,#00E400,优,19,2026-05-09 10:00:00
3,110,30.75,优,--,12,#00E400,优,#00E400,7,嘉兴市,35,优,优,330400,#00E400,120.75,#00E400,6,优,0.3,优,#00E400,330400,#00E400,嘉兴市,#00E400,优,19,2026-05-09 10:00:00
4,105,30.9,优,--,14,#00E400,优,#00E400,8,湖州市,33,优,优,330500,#00E400,120.08,#00E400,16,优,0.3,优,#00E400,330500,#00E400,湖州市,#00E400,优,29,2026-05-09 10:00:00
5,93,30,优,--,9,#00E400,优,#00E400,8,绍兴市,30,优,优,330600,#00E400,120.57,#00E400,8,优,0.2,优,#00E400,330600,#00E400,绍兴市,#00E400,优,17,2026-05-09 10:00:00
6,76,29.08,优,--,10,#00E400,优,#00E400,4,金华市,24,优,优,330700,#00E400,119.65,#00E400,12,优,0.4,优,#00E400,330700,#00E400,金华市,#00E400,优,21,2026-05-09 10:00:00
7,74,28.93,优,--,16,#00E400,优,#00E400,8,衢州市,36,优,优,330800,#00E400,118.87,#00E400,25,优,0.4,优,#00E400,330800,#00E400,衢州市,#00E400,优,34,2026-05-09 10:00:00
8,86,30,优,--,13,#00E400,优,#00E400,6,舟山市,27,优,优,330900,#00E400,122.2,#00E400,7,优,0.3,优,#00E400,330900,#00E400,舟山市,#00E400,优,18,2026-05-09 10:00:00
9,85,28.68,优,--,13,#00E400,优,#00E400,5,台州市,27,优,优,331000,#00E400,121.43,#00E400,8,优,0.3,优,#00E400,331000,#00E400,台州市,#00E400,优,19,2026-05-09 10:00:00
10,74,28.45,优,--,9,#00E400,优,#00E400,4,丽水市,24,优,优,331100,#00E400,119.92,#00E400,2,优,0.2,优,#00E400,331100,#00E400,丽水市,#00E400,优,14,2026-05-09 10:00:00
