,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,331127,94,28.002222,优,--,22,5,97,优,#00E400,#00E400,5,红星小学,#00E400,30,优,优,优,331100,#00E400,119.636389,#00E400,8,优,0.4,优,#00E400,#00E400,331127003,优,#00E400,丽水市,#00E400,优,17,12,#00E400,1,2026-05-06 16:00:00
1,优,331127,99,27.9772,优,--,21,3,91,优,#00E400,#00E400,4,景宁县政府,#00E400,31,优,优,优,331100,#00E400,119.6311,#00E400,3,优,0.4,优,#00E400,#00E400,331127002,优,#00E400,丽水市,#00E400,优,9,13,#00E400,2,2026-05-06 16:00:00
2,优,331124,102,28.4516,优,--,25,5,91,优,#00E400,#00E400,5,和平水厂,#00E400,32,优,优,优,331100,#00E400,119.4699,#00E400,6,优,0.3,优,#00E400,#00E400,331124002,优,#00E400,丽水市,#00E400,优,13,13,#00E400,3,2026-05-06 16:00:00
3,良,330329,103,27.557,优,--,18,6,105,优,#00E400,#00E400,5,罗阳,#FFFF00,33,优,优,优,330300,#00E400,119.7084,#00E400,6,优,0.4,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,11,14,#00E400,4,2026-05-06 16:00:00
4,优,330329,104,27.5438,优,--,17,3,99,优,#00E400,#00E400,6,泰顺实验中学,#00E400,33,优,优,优,330300,#00E400,119.716111,#00E400,5,优,0.3,优,#00E400,#00E400,330329002,优,#00E400,温州市,#00E400,优,8,12,#00E400,4,2026-05-06 16:00:00
5,优,331126,104,27.629585,优,--,16,5,97,优,#00E400,#00E400,7,庆元监测楼,#00E400,33,优,优,优,331100,#00E400,119.054809,#00E400,11,优,0.4,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,16,10,#00E400,4,2026-05-06 16:00:00
6,良,330922,108,30.7269,优,--,20,10,110,优,#00E400,#00E400,8,嵊泗菜园,#FFFF00,34,优,优,优,330900,#00E400,122.4464,#00E400,11,优,0.3,优,#00E400,#00E400,330922001,优,#00E400,舟山市,#00E400,优,18,11,#00E400,7,2026-05-06 16:00:00
7,良,331124,106,28.4505,优,--,23,7,101,优,#00E400,#00E400,4,松阳监测楼,#FFFF00,34,优,优,优,331100,#00E400,119.4799,#00E400,7,优,0.3,优,#00E400,#00E400,331124001,优,#00E400,丽水市,#00E400,优,13,14,#00E400,7,2026-05-06 16:00:00
8,良,331126,107,27.6211,优,--,18,6,105,优,#00E400,#00E400,5,庆元气象局,#FFFF00,34,优,优,优,331100,#00E400,119.0788,#00E400,10,优,0.5,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,18,12,#00E400,7,2026-05-06 16:00:00
9,良,330326,110,27.6653,优,--,18,4,111,优,#00E400,#00E400,6,平阳县政府,#FFFF00,35,优,优,优,330300,#00E400,120.5611,#00E400,3,优,0.5,优,#00E400,#00E400,330326002,优,#00E400,温州市,#00E400,优,9,12,#00E400,10,2026-05-06 16:00:00
10,良,330881,111,28.7282,优,--,30,9,109,优,#00E400,#00E400,7,人民医院,#FFFF00,35,优,优,优,330800,#00E400,118.6227,#00E400,14,优,0.3,优,#00E400,#00E400,330881002,优,#00E400,衢州市,#00E400,优,24,16,#00E400,10,2026-05-06 16:00:00
