timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-19T2000,3430A,119.5812,31.7256,常州市,金坛城区,,11,6,23,3,18,35,35,74,49,1,9,6,6,0.6,0.8
2026-06-19T2000,4089A,119.9551,31.863,常州市,崇义南街5-H号,,8,8,32,3,34,25,25,44,43,3,11,8,8,0.7,0.8
2026-06-19T2000,2220A,120.4318,41.588,朝阳市,西梁,,30,22,44,19,30,93,93,104,93,9,8,5,5,0.7,0.7
2026-06-19T2000,2221A,120.452,41.565,朝阳市,河畔小区,,39,NA,35,27,33,102,102,110,96,9,8,8,9,0.7,0.7
2026-06-19T2000,2222A,120.4176,41.5648,朝阳市,八里堡,,38,NA,40,26,35,90,90,108,91,12,11,4,4,0.7,0.7
2026-06-19T2000,3026A,116.6179,23.6608,潮州市,市政府,,18,18,22,9,12,33,33,42,40,7,10,4,6,0.4,0.5
2026-06-19T2000,4036A,116.646,23.676,潮州市,金山,,15,13,19,10,11,32,32,45,41,5,6,2,2,0.4,0.4
2026-06-19T2000,2473A,113.0116,25.8228,郴州市,市职中,,15,12,7,6,3,46,46,50,49,4,4,6,6,0.6,0.5
2026-06-19T2000,2475A,113.0381,25.8074,郴州市,市审计局,,16,10,6,6,3,49,49,51,51,5,5,3,3,/,/
2026-06-19T2000,2476A,113.0348,25.7757,郴州市,市环保局,,16,NA,8,8,2,51,51,54,54,3,3,5,5,0.5,0.5
2026-06-19T2000,4252A,113.0138,25.8011,郴州市,好美居路49号,,15,15,7,3,3,47,47,51,51,3,3,6,6,/,/
2026-06-19T2000,1431A,103.9727,30.7242,成都市,金泉两河,颗粒物(PM10),55,57,36,34,29,128,128,155,153,12,16,2,3,0.6,0.6
2026-06-19T2000,1432A,104.1423,30.6765,成都市,十里店,细颗粒物(PM2.5),80,57,35,50,27,134,134,155,154,9,14,4,4,0.6,0.6
2026-06-19T2000,1433A,104.0594,30.5765,成都市,三瓦窑,,45,NA,32,31,25,122,122,140,138,14,17,5,5,0.8,0.7
2026-06-19T2000,1434A,104.1122,30.6306,成都市,沙河铺,颗粒物(PM10),60,64,35,34,23,107,107,131,125,19,16,6,6,0.5,0.5
2026-06-19T2000,2880A,104.0219,30.6561,成都市,大石西路,颗粒物(PM10),66,72,40,42,33,112,112,136,134,16,15,4,5,0.6,0.6
2026-06-19T2000,3136A,104.2724,30.559,成都市,龙泉驿区区政府,,40,22,20,18,22,126,126,128,128,5,7,6,6,0.4,0.4
2026-06-19T2000,3357A,104.0028,30.6891,成都市,金博路,,48,48,28,33,29,122,122,154,151,17,18,6,7,0.8,0.8
2026-06-19T2000,3359A,104.056,30.5228,成都市,华阳,,37,22,27,14,22,118,118,138,136,5,7,2,2,0.6,0.8
