,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,331126,58,27.629585,优,--,17,10,76,优,#00E400,#00E400,6,庆元监测楼,#00E400,20,优,优,优,331100,#00E400,119.054809,#00E400,11,优,0.5,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,20,11,#00E400,1,2026-05-12 18:00:00
1,良,330824,74,29.1478,优,--,27,10,104,优,#00E400,#00E400,8,开化监测大楼,#FFFF00,25,优,优,优,330800,#00E400,118.4108,#00E400,15,优,0.4,优,#00E400,#00E400,330824002,优,#00E400,衢州市,#00E400,优,25,20,#00E400,2,2026-05-12 18:00:00
2,优,331181,77,28.08007,优,--,33,12,95,优,#00E400,#00E400,8,龙泉环保大楼,#00E400,25,优,优,优,331100,#00E400,119.1328,#00E400,12,优,0.5,优,#00E400,#00E400,331181001,优,#00E400,丽水市,#00E400,优,22,16,#00E400,2,2026-05-12 18:00:00
3,优,331125,83,28.1173,优,--,17,9,95,优,#00E400,#00E400,6,云和监测楼,#00E400,26,优,优,优,331100,#00E400,119.5626,#00E400,12,优,0.4,优,#00E400,#00E400,331125001,优,#00E400,丽水市,#00E400,优,17,11,#00E400,4,2026-05-12 18:00:00
4,优,331126,63,27.6211,优,--,22,11,81,优,#00E400,#00E400,5,庆元气象局,#00E400,27,优,优,优,331100,#00E400,119.0788,#00E400,18,优,0.7,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,27,15,#00E400,5,2026-05-12 18:00:00
5,优,330921,87,30.2669,优,--,11,32,89,优,#00E400,#00E400,6,岱山环保大楼,#00E400,28,优,优,优,330900,#00E400,122.2199,#00E400,12,优,0.4,优,#00E400,#00E400,330921001,优,#00E400,舟山市,#00E400,优,16,8,#00E400,6,2026-05-12 18:00:00
6,良,331083,89,28.2221,优,--,18,11,103,优,#00E400,#00E400,5,楚门中心小学,#FFFF00,28,优,优,优,331000,#00E400,121.2846,#00E400,15,优,0.6,优,#00E400,#00E400,331021002,优,#00E400,台州市,#00E400,优,11,11,#00E400,6,2026-05-12 18:00:00
7,优,330225,90,29.2003,优,--,18,16,91,优,#00E400,#00E400,7,石浦新港小学,#00E400,29,优,优,优,330200,#00E400,121.934,#00E400,5,优,0.4,优,#00E400,#00E400,330225002,优,#00E400,宁波市,#00E400,优,8,11,#00E400,8,2026-05-12 18:00:00
8,优,330921,92,30.2517,优,--,14,14,91,优,#00E400,#00E400,7,岱山高亭,#00E400,29,优,优,优,330900,#00E400,122.1958,#00E400,11,优,0.4,优,#00E400,#00E400,330921002,优,#00E400,舟山市,#00E400,优,15,9,#00E400,8,2026-05-12 18:00:00
9,优,331083,92,28.12715,优,--,21,9,100,优,#00E400,#00E400,9,玉环环监站,#00E400,29,优,优,优,331000,#00E400,121.2339,#00E400,3,优,0.6,优,#00E400,#00E400,331021001,优,#00E400,台州市,#00E400,优,15,6,#00E400,8,2026-05-12 18:00:00
