,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,331181,58,28.076,优,--,18,11,76,优,#00E400,#00E400,5,粮食大楼,#00E400,19,优,优,优,331100,#00E400,119.1217,#00E400,13,优,0.6,优,#00E400,#00E400,331181002,优,#00E400,丽水市,#00E400,优,18,12,#00E400,1,2026-05-11 18:00:00
1,优,330921,62,30.2517,优,--,19,37,83,优,#00E400,#00E400,8,岱山高亭,#00E400,20,优,优,优,330900,#00E400,122.1958,#00E400,7,优,0.4,优,#00E400,#00E400,330921002,优,#00E400,舟山市,#00E400,优,15,8,#00E400,2,2026-05-11 18:00:00
2,优,331123,63,28.5839,优,--,19,9,84,优,#00E400,#00E400,7,遂昌中学,#00E400,20,优,优,优,331100,#00E400,119.2656,#00E400,8,优,0.4,优,#00E400,#00E400,331123002,优,#00E400,丽水市,#00E400,优,14,12,#00E400,2,2026-05-11 18:00:00
3,优,331125,67,28.1173,优,--,14,2,80,优,#00E400,#00E400,3,云和监测楼,#00E400,21,优,优,优,331100,#00E400,119.5626,#00E400,8,优,0.4,优,#00E400,#00E400,331125001,优,#00E400,丽水市,#00E400,优,12,9,#00E400,4,2026-05-11 18:00:00
4,优,331127,69,28.002222,优,--,20,11,84,优,#00E400,#00E400,5,红星小学,#00E400,22,优,优,优,331100,#00E400,119.636389,#00E400,8,优,0.5,优,#00E400,#00E400,331127003,优,#00E400,丽水市,#00E400,优,15,12,#00E400,5,2026-05-11 18:00:00
5,优,330921,67,30.2669,优,--,18,44,81,优,#00E400,#00E400,6,岱山环保大楼,#00E400,22,优,优,优,330900,#00E400,122.2199,#00E400,8,优,0.4,优,#00E400,#00E400,330921001,优,#00E400,舟山市,#00E400,优,12,9,#00E400,5,2026-05-11 18:00:00
6,优,331126,69,27.629585,优,--,20,8,78,优,#00E400,#00E400,6,庆元监测楼,#00E400,22,优,优,优,331100,#00E400,119.054809,#00E400,7,优,0.5,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,17,16,#00E400,5,2026-05-11 18:00:00
7,优,331127,68,27.9772,优,--,16,15,86,优,#00E400,#00E400,4,景宁县政府,#00E400,23,优,优,优,331100,#00E400,119.6311,#00E400,12,优,0.6,优,#00E400,#00E400,331127002,优,#00E400,丽水市,#00E400,优,23,13,#00E400,8,2026-05-11 18:00:00
8,优,330127,78,29.5995,优,--,21,4,83,优,#00E400,#00E400,12,淳安环保大楼,#00E400,25,优,优,优,330100,#00E400,119.0481,#00E400,10,优,0.6,优,#00E400,#00E400,330127001,优,#00E400,杭州市,#00E400,优,21,10,#00E400,9,2026-05-11 18:00:00
9,优,331125,79,28.1062,优,--,29,9,86,优,#00E400,#00E400,6,云和三中,#00E400,25,优,优,优,331100,#00E400,119.5728,#00E400,4,优,0.4,优,#00E400,#00E400,331125002,优,#00E400,丽水市,#00E400,优,19,14,#00E400,9,2026-05-11 18:00:00
10,优,331126,77,27.6211,优,--,22,5,81,优,#00E400,#00E400,4,庆元气象局,#00E400,25,优,优,优,331100,#00E400,119.0788,#00E400,8,优,0.6,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,11,16,#00E400,9,2026-05-11 18:00:00
11,良,330324,84,28.044335,优,--,36,22,104,优,#00E400,#00E400,6,瓯北,#FFFF00,27,优,优,优,330300,#00E400,120.654963,#00E400,8,优,0.5,优,#00E400,#00E400,330324002,优,#00E400,温州市,#00E400,优,24,18,#00E400,12,2026-05-11 18:00:00
12,良,330381,87,27.791645,优,--,39,10,114,优,#00E400,#00E400,7,花园桥,#FFFF00,28,优,优,优,330300,#00E400,120.62372,#00E400,4,优,0.2,优,#00E400,#00E400,330381001,优,#00E400,温州市,#00E400,优,6,22,#00E400,13,2026-05-11 18:00:00
13,优,331083,88,28.12715,优,--,21,13,98,优,#00E400,#00E400,9,玉环环监站,#00E400,28,优,优,优,331000,#00E400,121.2339,#00E400,4,优,0.7,优,#00E400,#00E400,331021001,优,#00E400,台州市,#00E400,优,11,10,#00E400,13,2026-05-11 18:00:00
14,良,331124,87,28.4505,优,--,28,14,103,优,#00E400,#00E400,5,松阳监测楼,#FFFF00,28,优,优,优,331100,#00E400,119.4799,#00E400,10,优,0.5,优,#00E400,#00E400,331124001,优,#00E400,丽水市,#00E400,优,23,14,#00E400,13,2026-05-11 18:00:00
15,优,331124,89,28.4516,优,--,25,12,100,优,#00E400,#00E400,6,和平水厂,#00E400,28,优,优,优,331100,#00E400,119.4699,#00E400,7,优,0.4,优,#00E400,#00E400,331124002,优,#00E400,丽水市,#00E400,优,15,12,#00E400,13,2026-05-11 18:00:00
16,良,330381,90,27.782284,优,--,33,8,114,优,#00E400,#00E400,10,安阳新区,#FFFF00,29,优,优,优,330300,#00E400,120.650915,#00E400,4,优,0.4,优,#00E400,#00E400,330381002,优,#00E400,温州市,#00E400,优,6,19,#00E400,17,2026-05-11 18:00:00
17,良,330326,92,27.6593,优,--,26,3,114,优,#00E400,#00E400,10,平阳监测站,#FFFF00,29,优,优,优,330300,#00E400,120.5705,#00E400,3,优,0.6,优,#00E400,#00E400,330326001,优,#00E400,温州市,#00E400,优,14,15,#00E400,17,2026-05-11 18:00:00
18,优,330329,92,27.557,优,--,21,9,89,优,#00E400,#00E400,6,罗阳,#00E400,29,优,优,优,330300,#00E400,119.7084,#00E400,20,优,0.5,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,27,15,#00E400,17,2026-05-11 18:00:00
19,优,330824,91,29.1343,优,--,21,8,90,优,#00E400,#00E400,7,开化气象局,#00E400,29,优,优,优,330800,#00E400,118.402,#00E400,9,优,0.4,优,#00E400,#00E400,330824001,优,#00E400,衢州市,#00E400,优,18,7,#00E400,17,2026-05-11 18:00:00
20,优,330922,91,30.7269,优,--,13,11,84,优,#00E400,#00E400,7,嵊泗菜园,#00E400,29,优,优,优,330900,#00E400,122.4464,#00E400,6,优,0.4,优,#00E400,#00E400,330922001,优,#00E400,舟山市,#00E400,优,10,5,#00E400,17,2026-05-11 18:00:00
21,优,331081,90,28.37558,优,--,24,11,97,优,#00E400,#00E400,5,温岭环监站,#00E400,29,优,优,优,331000,#00E400,121.36579,#00E400,3,优,0.3,优,#00E400,#00E400,331081001,优,#00E400,台州市,#00E400,优,11,18,#00E400,17,2026-05-11 18:00:00
22,优,331181,69,28.08007,优,--,23,6,75,优,#00E400,#00E400,8,龙泉环保大楼,#00E400,29,优,优,优,331100,#00E400,119.1328,#00E400,20,优,0.4,优,#00E400,#00E400,331181001,优,#00E400,丽水市,#00E400,优,28,12,#00E400,17,2026-05-11 18:00:00
23,优,330127,94,29.605,优,--,14,1,94,优,#00E400,#00E400,12,老年活动中心,#00E400,30,优,优,优,330100,#00E400,119.0372,#00E400,3,优,0.7,优,#00E400,#00E400,330127T_4,优,#00E400,杭州市,#00E400,优,11,8,#00E400,24,2026-05-11 18:00:00
24,优,330305,95,27.8342,优,--,24,7,94,优,#00E400,#00E400,7,洞头气象局,#00E400,30,优,优,优,330300,#00E400,121.1502,#00E400,3,优,0.4,优,#00E400,#00E400,330305001,优,#00E400,温州市,#00E400,优,5,12,#00E400,24,2026-05-11 18:00:00
25,优,330329,94,27.5438,优,--,22,6,86,优,#00E400,#00E400,6,泰顺实验中学,#00E400,30,优,优,优,330300,#00E400,119.716111,#00E400,9,优,0.4,优,#00E400,#00E400,330329002,优,#00E400,温州市,#00E400,优,15,15,#00E400,24,2026-05-11 18:00:00
26,优,330781,96,29.229931,优,--,37,9,92,优,#00E400,#00E400,9,兰溪八中,#00E400,30,优,优,优,330700,#00E400,119.475172,#00E400,12,优,0.5,优,#00E400,#00E400,330781002,优,#00E400,金华市,#00E400,优,26,28,#00E400,24,2026-05-11 18:00:00
27,优,330824,94,29.1478,优,--,15,9,94,优,#00E400,#00E400,8,开化监测大楼,#00E400,30,优,优,优,330800,#00E400,118.4108,#00E400,13,优,0.5,优,#00E400,#00E400,330824002,优,#00E400,衢州市,#00E400,优,24,9,#00E400,24,2026-05-11 18:00:00
28,良,331022,96,29.11779,优,--,28,14,113,优,#00E400,#00E400,6,三门环监楼,#FFFF00,30,优,优,优,331000,#00E400,121.382189,#00E400,12,优,0.5,优,#00E400,#00E400,331022001,优,#00E400,台州市,#00E400,优,20,17,#00E400,24,2026-05-11 18:00:00
29,良,330382,98,28.1209,优,--,18,7,102,优,#00E400,#00E400,5,乐成,#FFFF00,31,优,优,优,330300,#00E400,120.9659,#00E400,2,优,0.4,优,#00E400,#00E400,330382001,优,#00E400,温州市,#00E400,优,12,10,#00E400,30,2026-05-11 18:00:00
30,良,330383,97,27.5812,优,--,42,11,121,优,#00E400,#00E400,7,龙港,#FFFF00,31,优,优,优,330300,#00E400,120.5489,#00E400,8,优,0.4,优,#00E400,#00E400,330327002,优,#00E400,温州市,#00E400,优,12,26,#00E400,30,2026-05-11 18:00:00
31,良,331081,97,28.39136,优,--,24,7,113,优,#00E400,#00E400,3,之江高级中学,#FFFF00,31,优,优,优,331000,#00E400,121.37696,#00E400,7,优,0.3,优,#00E400,#00E400,331081002,优,#00E400,台州市,#00E400,优,11,13,#00E400,30,2026-05-11 18:00:00
32,优,331123,98,28.5991,优,--,19,7,98,优,#00E400,#00E400,5,遂昌民政局,#00E400,31,优,优,优,331100,#00E400,119.2622,#00E400,11,优,0.5,优,#00E400,#00E400,331123001,优,#00E400,丽水市,#00E400,优,18,12,#00E400,30,2026-05-11 18:00:00
33,良,330383,98,27.5617,优,--,35,8,112,优,#00E400,#00E400,5,龙港实验中学,#FFFF00,31,优,优,优,330300,#00E400,120.5355,#00E400,6,优,0.5,优,#00E400,#00E400,330303101,优,#00E400,温州市,#00E400,优,11,20,#00E400,30,2026-05-11 18:00:00
34,良,330225,101,29.4767,优,--,19,6,108,优,#00E400,#00E400,8,文峰小学,#FFFF00,32,优,优,优,330200,#00E400,121.8864,#00E400,3,优,0.4,优,#00E400,#00E400,330225001,优,#00E400,宁波市,#00E400,优,5,9,#00E400,35,2026-05-11 18:00:00
35,良,330382,100,28.0297,优,--,21,12,104,优,#00E400,#00E400,4,柳市,#FFFF00,32,优,优,优,330300,#00E400,120.891,#00E400,7,优,0.4,优,#00E400,#00E400,330382002,优,#00E400,温州市,#00E400,优,13,10,#00E400,35,2026-05-11 18:00:00
36,良,330326,100,27.6653,优,--,28,4,122,优,#00E400,#00E400,8,平阳县政府,#FFFF00,32,优,优,优,330300,#00E400,120.5611,#00E400,2,优,0.6,优,#00E400,#00E400,330326002,优,#00E400,温州市,#00E400,优,8,15,#00E400,35,2026-05-11 18:00:00
37,良,330327,101,27.503889,优,--,34,7,114,优,#00E400,#00E400,9,灵溪,#FFFF00,32,优,优,优,330300,#00E400,120.395278,#00E400,12,优,0.4,优,#00E400,#00E400,330327001,优,#00E400,温州市,#00E400,优,26,18,#00E400,35,2026-05-11 18:00:00
38,良,330822,101,28.901,优,--,25,10,102,优,#00E400,#00E400,6,常山环保大楼,#FFFF00,32,优,优,优,330800,#00E400,118.5196,#00E400,13,优,0.6,优,#00E400,#00E400,330822001,优,#00E400,衢州市,#00E400,优,28,12,#00E400,35,2026-05-11 18:00:00
39,良,331083,100,28.2221,优,--,28,12,109,优,#00E400,#00E400,5,楚门中心小学,#FFFF00,32,优,优,优,331000,#00E400,121.2846,#00E400,7,优,0.6,优,#00E400,#00E400,331021002,优,#00E400,台州市,#00E400,优,14,14,#00E400,35,2026-05-11 18:00:00
40,优,331024,95,28.8589,优,--,35,12,94,优,#00E400,#00E400,8,仙居环监站,#00E400,32,优,优,优,331000,#00E400,120.7248,#00E400,22,优,0.5,优,#00E400,#00E400,331024001,优,#00E400,台州市,#00E400,优,31,20,#00E400,35,2026-05-11 18:00:00
41,优,331024,101,28.7403,优,--,28,13,96,优,#00E400,#00E400,6,新生中学,#00E400,32,优,优,优,331000,#00E400,120.4728,#00E400,14,优,0.5,优,#00E400,#00E400,331024002,优,#00E400,台州市,#00E400,优,24,17,#00E400,35,2026-05-11 18:00:00
42,良,331022,101,29.1028,优,--,27,10,120,优,#00E400,#00E400,6,心湖站,#FFFF00,32,优,优,优,331000,#00E400,121.3918,#00E400,12,优,0.4,优,#00E400,#00E400,331022002,优,#00E400,台州市,#00E400,优,24,16,#00E400,35,2026-05-11 18:00:00
43,良,330324,90,28.158269,优,--,33,18,104,优,#00E400,#00E400,6,上塘,#FFFF00,33,优,优,优,330300,#00E400,120.694244,#00E400,18,优,0.5,优,#00E400,#00E400,330324001,优,#00E400,温州市,#00E400,优,33,18,#00E400,44,2026-05-11 18:00:00
44,良,330781,102,29.216166,优,--,35,13,101,优,#00E400,#00E400,8,兰溪监测站,#FFFF00,33,优,优,优,330700,#00E400,119.459992,#00E400,22,优,0.6,优,#00E400,#00E400,330781001,优,#00E400,金华市,#00E400,优,33,21,#00E400,44,2026-05-11 18:00:00
