,O3,latitude,CO_level,SYWRW,NO2,PM10_color,O3_level,PM25_color,SO2,sitename,AQI,NO2_level,AQI_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,sitecode,AQI_color,districtname,O3_color,SO2_level,PM10,time
0,12,30.28,优,PM₂.₅,31,#FFFF00,优,#FF7E00,6,杭州市,109,优,轻度污染,330100,#00E400,120.15,#00E400,69,良,0.9,轻度污染,#00E400,330100,#FF7E00,杭州市,#00E400,优,65,2026-05-23 05:00:00
1,71,29.88,优,--,9,#00E400,优,#00E400,6,宁波市,23,优,优,330200,#00E400,121.55,#00E400,12,优,0.5,优,#00E400,330200,#00E400,宁波市,#00E400,优,19,2026-05-23 05:00:00
2,33,28,优,--,18,#00E400,优,#00E400,5,温州市,45,优,优,330300,#00E400,120.7,#00E400,31,优,0.7,优,#00E400,330300,#00E400,温州市,#00E400,优,43,2026-05-23 05:00:00
3,24,30.75,优,PM₂.₅,27,#00E400,优,#FFFF00,6,嘉兴市,56,优,良,330400,#00E400,120.75,#00E400,38,优,0.8,良,#00E400,330400,#FFFF00,嘉兴市,#00E400,优,38,2026-05-23 05:00:00
4,21,30.9,优,PM₂.₅,34,#FFFF00,优,#FF7E00,6,湖州市,104,优,轻度污染,330500,#00E400,120.08,#00E400,64,良,0.8,轻度污染,#00E400,330500,#FF7E00,湖州市,#00E400,优,64,2026-05-23 05:00:00
5,14,30,优,PM₂.₅,35,#FFFF00,优,#FFFF00,7,绍兴市,66,优,良,330600,#00E400,120.57,#00E400,43,良,0.7,良,#00E400,330600,#FFFF00,绍兴市,#00E400,优,56,2026-05-23 05:00:00
6,16,29.08,优,--,22,#00E400,优,#00E400,4,金华市,33,优,优,330700,#00E400,119.65,#00E400,18,优,0.7,优,#00E400,330700,#00E400,金华市,#00E400,优,33,2026-05-23 05:00:00
7,8,28.93,优,--,20,#00E400,优,#00E400,6,衢州市,10,优,优,330800,#00E400,118.87,#00E400,6,优,0.5,优,#00E400,330800,#00E400,衢州市,#00E400,优,10,2026-05-23 05:00:00
8,75,30,优,--,12,#00E400,优,#00E400,5,舟山市,39,优,优,330900,#00E400,122.2,#00E400,27,优,0.5,优,#00E400,330900,#00E400,舟山市,#00E400,优,36,2026-05-23 05:00:00
9,45,28.68,优,--,6,#00E400,优,#00E400,4,台州市,34,优,优,331000,#00E400,121.43,#00E400,20,优,0.5,优,#00E400,331000,#00E400,台州市,#00E400,优,34,2026-05-23 05:00:00
10,12,28.45,优,--,16,#00E400,优,#00E400,4,丽水市,20,优,优,331100,#00E400,119.92,#00E400,10,优,0.6,优,#00E400,331100,#00E400,丽水市,#00E400,优,20,2026-05-23 05:00:00
