timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-04-10T2100,1751A,122.964,41.0968,鞍山市,铁西三道街,细颗粒物(PM2.5),58,48,71,39,52,71,71,80,80,30,32,9,11,1.0,1
2026-04-10T2100,1753A,123.0219,41.0822,鞍山市,明达新区,细颗粒物(PM2.5),52,49,65,36,46,69,69,80,80,28,27,14,9,1.4,0.9
2026-04-10T2100,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,细颗粒物(PM2.5),62,55,78,41,53,72,72,85,85,30,31,11,11,1.1,1
2026-04-10T2100,2195A,107.4206,40.7609,巴彦淖尔市,附二中,颗粒物(PM10),53,53,65,24,18,87,87,113,110,21,9,9,10,0.4,0.3
2026-04-10T2100,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,颗粒物(PM10),52,52,62,15,17,90,90,113,110,12,11,6,6,0.3,0.3
2026-04-10T2100,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),140,222,77,76,22,97,97,118,116,12,8,10,12,0.3,0.3
2026-04-10T2100,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),149,246,74,76,18,101,101,126,124,13,9,/,/,/,/
2026-04-10T2100,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),134,206,66,74,17,94,94,112,111,13,5,8,9,0.3,0.3
2026-04-10T2100,3181A,106.776805,31.852614,巴中市,市五中,,39,39,36,20,21,25,25,34,33,11,16,8,8,0.6,0.8
2026-04-10T2100,3183A,106.7419,31.8654,巴中市,圣泉水务公司,,37,37,32,20,19,24,24,43,40,21,17,8,8,0.7,0.7
2026-04-10T2100,3616A,106.7617,31.8343,巴中市,市中心医院,NA,NA,48,37,23,20,NA,NA,43,43,18,18,8,8,0.6,0.7
2026-04-10T2100,2235A,122.7909,45.608,白城市,洮北区环保局,,37,37,39,17,21,82,82,94,92,9,16,6,7,0.1,0.2
2026-04-10T2100,2236A,122.8741,45.5725,白城市,市环保局,,25,NA,35,16,22,79,79,89,84,10,19,4,6,0.0,0.1
2026-04-10T2100,2231A,126.4219,41.9172,白山市,喜丰,,30,30,45,19,32,68,68,70,68,12,18,6,7,0.9,1
2026-04-10T2100,2232A,126.4082,41.9416,白山市,环保局,,26,21,37,12,34,83,83,71,71,11,18,10,10,0.8,1
2026-04-10T2100,2647A,104.1727,36.5448,白银市,第三小学,颗粒物(PM10),59,62,60,23,17,74,74,102,99,25,15,8,21,0.5,0.4
2026-04-10T2100,2648A,104.1467,36.5482,白银市,动力公司,颗粒物(PM10),55,56,53,19,14,85,85,106,103,22,13,9,11,0.3,0.3
2026-04-10T2100,2512A,106.6102,23.901,百色市,市监测站,细颗粒物(PM2.5),64,56,57,42,37,73,73,128,111,18,20,10,12,0.5,0.5
2026-04-10T2100,2513A,106.6524,23.8842,百色市,市中心血站,细颗粒物(PM2.5),98,61,63,59,46,59,59,130,117,44,25,10,13,0.7,0.8
2026-04-10T2100,4133A,106.6273,23.8798,百色市,龙景西路,细颗粒物(PM2.5),70,50,58,45,45,97,97,143,131,20,21,13,14,0.6,0.6
2026-04-10T2100,2270A,117.396,32.9389,蚌埠市,工人疗养院,颗粒物(PM10),63,68,67,17,32,81,81,122,113,32,19,4,5,0.4,0.6
2026-04-10T2100,2271A,117.3606,32.9428,蚌埠市,百货大楼,颗粒物(PM10),66,72,54,17,25,75,75,118,110,29,16,5,6,0.6,0.7
2026-04-10T2100,2273A,117.4183,32.8909,蚌埠市,蚌埠学院,颗粒物(PM10),70,78,58,18,26,46,46,129,110,59,18,8,6,0.6,0.6
2026-04-10T2100,2274A,117.3534,32.9672,蚌埠市,淮上区政府,颗粒物(PM10),68,75,53,20,27,93,93,121,116,22,17,5,5,0.4,0.5
2026-04-10T2100,2275A,117.3143,32.8977,蚌埠市,高新区,颗粒物(PM10),68,75,51,17,26,80,80,111,107,21,17,7,8,0.6,0.7
2026-04-10T2100,3715A,117.3091,32.9314,蚌埠市,蚌埠田家炳中学,颗粒物(PM10),77,87,61,21,27,89,89,121,116,22,18,5,9,0.6,0.6
2026-04-10T2100,1585A,109.8761,40.6533,包头市,市环境监测站,颗粒物(PM10),54,55,52,29,18,38,38,121,109,76,32,8,10,0.9,0.6
2026-04-10T2100,1587A,109.9992,40.5843,包头市,包头八中,颗粒物(PM10),60,64,52,29,20,48,48,115,103,63,34,10,14,0.6,0.6
2026-04-10T2100,1589A,109.8641,40.6288,包头市,惠龙物流,细颗粒物(PM2.5),56,46,44,38,19,63,63,114,105,46,31,17,10,0.7,0.6
2026-04-10T2100,1284A,119.2648,26.0769,福州市,杨桥西路,细颗粒物(PM2.5),62,50,45,41,27,68,68,142,121,21,20,5,4,/,/
2026-04-10T2100,3048A,119.5799,26.0937,福州市,九龙,,46,43,37,32,28,56,56,125,106,16,14,5,6,0.3,0.3
2026-04-10T2100,3526A,119.5188,25.9666,福州市,吴航,,47,47,41,30,24,64,64,114,103,15,14,6,6,0.4,0.5
2026-04-10T2100,4104A,119.3106,26.0648,福州市,路通桥巷6号,细颗粒物(PM2.5),62,46,45,41,31,60,60,132,116,21,16,/,/,/,/
2026-04-10T2100,1755A,123.7974,41.8494,抚顺市,望花区,,44,44,72,23,54,72,72,83,81,18,28,12,13,0.7,0.8
2026-04-10T2100,1756A,123.9161,41.8827,抚顺市,顺城区,,41,41,62,18,52,67,67,72,72,21,33,10,10,0.7,0.7
2026-04-10T2100,1757A,124.0437,41.8615,抚顺市,东洲区,,44,44,79,22,54,59,59,71,71,24,33,8,9,0.6,0.8
2026-04-10T2100,1758A,123.9246,41.8638,抚顺市,新抚区,,38,38,66,22,55,66,66,74,74,21,32,8,9,0.9,0.9
2026-04-10T2100,1759A,124.0972,41.8961,抚顺市,大伙房水库,,30,30,53,17,47,73,73,84,84,18,22,9,9,0.5,0.6
2026-04-10T2100,1760A,123.708,41.8386,抚顺市,沈抚新城,,43,43,74,19,52,75,75,82,80,20,31,8,9,0.7,0.8
2026-04-10T2100,2377A,116.3544,27.9833,抚州市,市站,,34,26,23,21,14,108,108,133,123,7,5,4,3,0.9,0.8
2026-04-10T2100,2378A,116.3562,27.9631,抚州市,血防站,,40,NA,24,28,14,88,88,121,106,8,6,7,7,0.8,0.7
2026-04-10T2100,2379A,116.3561,28.0007,抚州市,采茶剧团,,38,38,27,22,12,93,93,121,109,2,2,6,12,0.7,0.6
2026-04-10T2100,2380A,116.3854,27.9648,抚州市,医学分院,,34,34,35,16,9,92,92,118,108,7,5,6,6,1.0,1.1
2026-04-10T2100,2207A,121.6095,41.9978,阜新市,工业园区,,38,38,32,3,21,87,87,102,98,10,14,8,10,0.3,0.5
2026-04-10T2100,2208A,121.6567,42.0188,阜新市,长青街,,33,33,29,3,24,94,94,105,102,8,14,5,6,0.3,0.5
2026-04-10T2100,2209A,121.6672,42.07,阜新市,农业园区,,38,38,34,3,20,90,90,101,100,9,13,3,4,0.3,0.6
2026-04-10T2100,2211A,121.6343,42.0455,阜新市,玉龙新城,,39,39,31,3,20,92,92,104,101,10,16,5,6,0.3,0.5
2026-04-10T2100,2301A,115.8276,32.8929,阜阳市,市监测站,颗粒物(PM10),61,65,46,16,22,77,77,99,99,21,19,6,6,0.4,0.4
2026-04-10T2100,2303A,115.8551,32.8606,阜阳市,开发区,颗粒物(PM10),81,93,48,23,20,72,72,98,98,15,16,5,5,0.6,0.6
2026-04-10T2100,2875A,115.783962,32.889217,阜阳市,阜阳职业技术学院,颗粒物(PM10),63,67,44,10,12,80,80,108,107,17,11,7,7,0.6,0.6
2026-04-10T2100,3468A,115.79,32.8614,阜阳市,市规划展馆,,45,45,40,17,21,81,81,116,115,21,14,7,7,0.6,0.6
2026-04-10T2100,3469A,115.835101,32.918568,阜阳市,枣园社区,颗粒物(PM10),70,78,46,15,24,60,60,96,93,34,18,8,7,0.5,0.5
2026-04-10T2100,2669A,102.9097,34.9841,甘南藏族自治州,州政府,,30,26,41,15,20,93,93,92,92,6,23,2,2,0.2,0.4
2026-04-10T2100,3380A,102.8915,34.9618,甘南藏族自治州,甘肃民族师范学院,,32,22,51,17,21,101,101,105,105,12,23,2,1,0.3,0.2
2026-04-10T2100,2570A,101.96,30.048,甘孜藏族自治州,水桥子,,30,6,10,3,5,94,94,100,98,4,7,5,6,0.2,0.2
2026-04-10T2100,3065A,101.9534,29.9976,甘孜藏族自治州,州环保局,,32,NA,10,11,7,100,100,108,105,12,10,5,5,0.3,0.2
2026-04-10T2100,2363A,114.9368,25.8663,赣州市,地委,,49,49,36,27,25,78,78,106,103,7,6,4,3,0.8,0.8
2026-04-10T2100,2364A,114.946,25.8483,赣州市,气象台,颗粒物(PM10),53,53,40,30,28,80,80,107,103,8,6,6,6,0.3,0.5
2026-04-10T2100,2365A,114.932,25.8332,赣州市,市图书馆,,44,44,34,26,26,76,76,100,96,7,6,4,4,0.7,0.6
2026-04-10T2100,2366A,114.8905,25.8472,赣州市,华坚鞋城,,48,45,39,33,27,72,72,97,94,12,7,16,7,0.6,0.7
2026-04-10T2100,3109A,115.0094,25.8614,赣州市,赣县区卫计委,,43,NA,34,30,25,67,67,94,90,7,13,4,2,0.6,0.8
2026-04-10T2100,2684A,106.2753,36.0057,固原市,监测站,颗粒物(PM10),60,63,67,17,20,102,102,112,111,14,18,5,6,0.4,0.4
2026-04-10T2100,3335A,113.3137,35.2643,焦作市,马村街道办,颗粒物(PM10),64,69,76,38,46,76,76,109,104,20,15,10,9,1.1,0.8
2026-04-10T2100,3336A,113.2464,35.2374,焦作市,焦作技师学院,颗粒物(PM10),88,102,86,25,53,62,62,116,108,28,18,10,8,0.9,1.1
