timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-03-17T1400,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,35,17,17,6,7,112,112,62,62,3,7,5,5,0.2,0.3
2026-03-17T1400,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,33,6,11,3,6,105,105,62,62,4,7,3,3,0.3,0.4
2026-03-17T1400,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),405,505,603,159,204,81,81,53,53,5,15,2,2,0.5,0.6
2026-03-17T1400,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),404,504,572,156,185,81,81,56,56,7,17,3,4,0.2,0.5
2026-03-17T1400,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,30,29,80,8,19,93,93,95,90,6,7,8,9,0.4,0.5
2026-03-17T1400,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,细颗粒物(PM2.5),88,NA,78,54,21,85,85,93,85,3,5,8,8,0.4,0.5
2026-03-17T1400,2708A,88.1266,47.8515,阿勒泰地区,市站,,27,27,24,3,9,83,83,60,60,11,16,11,6,0.1,0.2
2026-03-17T1400,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,27,26,19,3,7,86,86,67,67,11,13,8,6,0.3,0.4
2026-03-17T1400,2630A,80.1171,32.4999,阿里地区,阿里监测站,,39,7,22,3,6,122,122,115,115,2,2,7,8,0.2,0.3
2026-03-17T1400,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,40,8,25,3,5,125,125,120,120,1,2,8,9,0.5,0.5
2026-03-17T1400,2644A,109.0088,32.6974,安康市,汉滨区检察院,,24,10,17,8,11,75,75,75,64,15,16,4,4,0.7,0.7
2026-03-17T1400,4054A,109.0324,32.6913,安康市,市邮政管理局,,25,9,17,7,13,78,78,71,65,18,19,4,4,0.7,0.7
2026-03-17T1400,2291A,117.0806,30.5181,安庆市,环科院,,18,12,11,12,11,27,27,22,18,18,17,7,7,0.8,0.8
2026-03-17T1400,2292A,117.0331,30.5118,安庆市,马山宾馆,,18,15,12,12,10,30,30,22,20,25,25,5,4,0.8,0.9
2026-03-17T1400,2294A,116.9897,30.6146,安庆市,安庆大学,NA,NA,12,12,12,7,31,31,22,22,NA,18,4,3,0.7,0.7
2026-03-17T1400,3173A,117.0598,30.5351,安庆市,市人大,颗粒物(PM10),84,97,16,10,8,28,28,20,18,24,25,6,5,0.7,0.7
2026-03-17T1400,3123A,105.9408,26.2431,安顺市,凤凰山,细颗粒物(PM2.5),68,NA,32,44,19,106,106,78,78,5,13,9,12,0.4,0.6
2026-03-17T1400,3124A,105.9443,26.2567,安顺市,金钟山,,49,NA,20,34,21,98,98,77,77,5,10,11,12,0.6,0.7
2026-03-17T1400,3125A,105.8983,26.248,安顺市,娄家坡,,48,NA,28,33,20,99,99,79,79,5,11,8,10,0.6,0.7
2026-03-17T1400,1819A,114.3552,36.1017,安阳市,红庙街,细颗粒物(PM2.5),122,NA,78,84,87,93,93,64,64,13,18,2,6,0.6,0.5
2026-03-17T1400,1820A,114.361,36.0681,安阳市,银杏小区,细颗粒物(PM2.5),127,90,84,89,93,100,100,56,56,13,20,2,2,0.5,0.5
2026-03-17T1400,3141A,114.3921,36.0879,安阳市,信访局,细颗粒物(PM2.5),117,NA,87,78,94,106,106,62,62,7,11,2,2,0.5,0.5
2026-03-17T1400,3669A,114.4706,36.0634,安阳市,左辅环卫站,细颗粒物(PM2.5),116,98,112,77,78,108,108,58,58,6,14,2,3,0.6,0.5
2026-03-17T1400,4117A,114.2918,36.0769,安阳市,钢三路198号,细颗粒物(PM2.5),141,107,131,105,87,85,85,34,NA,17,22,5,2,0.6,0.7
2026-03-17T1400,1748A,123.0441,41.1201,鞍山市,深沟寺,细颗粒物(PM2.5),100,103,114,60,81,144,144,116,116,20,35,12,21,0.7,1.5
2026-03-17T1400,1749A,123.011,41.0931,鞍山市,太阳城,细颗粒物(PM2.5),103,87,113,63,93,134,134,112,112,21,39,14,31,0.8,1.8
2026-03-17T1400,1750A,123.0483,41.1445,鞍山市,太平,细颗粒物(PM2.5),98,98,122,59,87,136,136,106,106,19,40,14,20,0.9,1.5
2026-03-17T1400,1751A,122.964,41.0968,鞍山市,铁西三道街,细颗粒物(PM2.5),103,103,153,63,108,133,133,101,101,22,63,11,33,0.7,2
2026-03-17T1400,1753A,123.0219,41.0822,鞍山市,明达新区,细颗粒物(PM2.5),102,97,103,62,79,136,136,115,115,19,30,14,24,0.8,1.5
2026-03-17T1400,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,细颗粒物(PM2.5),111,100,162,72,118,131,131,106,106,23,58,12,23,0.9,1.9
2026-03-17T1400,2195A,107.4206,40.7609,巴彦淖尔市,附二中,颗粒物(PM10),152,254,199,32,57,88,88,71,67,3,8,8,8,0.3,0.4
2026-03-17T1400,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,颗粒物(PM10),162,274,192,27,58,93,93,74,74,3,9,5,5,0.3,0.4
2026-03-17T1400,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),83,95,217,17,48,87,87,45,45,6,35,9,9,0.4,0.6
2026-03-17T1400,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),98,116,233,25,49,91,91,60,60,2,23,/,/,/,/
2026-03-17T1400,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),100,120,193,31,50,83,83,63,63,2,13,6,6,0.3,0.4
2026-03-17T1400,3181A,106.776805,31.852614,巴中市,市五中,,15,15,14,7,9,43,43,21,21,13,14,7,8,0.9,0.9
