site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
塔山小学,丽水市,29,4,11,91,6,4,0.3,86,9,6,2026-04-30 09:00:00
云和三中,丽水市,22,7,12,70,3,3,0.3,67,5,4,2026-04-30 09:00:00
缙云中学,丽水市,22,5,20,69,15,8,0.5,75,9,3,2026-04-30 09:00:00
信访大楼,丽水市,28,7,13,87,6,9,0.5,91,5,6,2026-04-30 09:00:00
红星小学,丽水市,25,5,6,80,6,4,0.5,77,4,2,2026-04-30 09:00:00
云和监测楼,丽水市,21,8,11,66,5,4,0.4,58,4,3,2026-04-30 09:00:00
松阳监测楼,丽水市,25,7,14,80,8,7,0.4,74,8,6,2026-04-30 09:00:00
青田中学,丽水市,27,3,9,84,9,4,0.4,77,7,3,2026-04-30 09:00:00
和平水厂,丽水市,28,7,12,88,8,4,0.4,78,8,4,2026-04-30 09:00:00
粮食大楼,丽水市,20,8,9,64,7,5,0.4,57,4,2,2026-04-30 09:00:00
龙泉环保大楼,丽水市,20,8,5,62,4,3,0.4,56,4,2,2026-04-30 09:00:00
庆元气象局,丽水市,20,4,7,62,9,8,0.3,64,8,5,2026-04-30 09:00:00
遂昌中学,丽水市,--,--,--,81,--,--,0.3,69,4,--,2026-04-30 09:00:00
遂昌民政局,丽水市,--,4,4,89,3,--,0.4,76,2,2,2026-04-30 09:00:00
庆元监测楼,丽水市,19,6,9,60,8,5,0.7,59,8,5,2026-04-30 09:00:00
景宁县政府,丽水市,26,4,5,81,11,5,0.5,74,5,3,2026-04-30 09:00:00
天台实验中学,台州市,28,5,14,87,17,19,0.5,82,8,7,2026-04-30 09:00:00
温岭环监站,台州市,23,5,16,73,5,3,0.3,78,6,5,2026-04-30 09:00:00
玉环环监站,台州市,25,9,13,78,8,2,0.5,89,5,--,2026-04-30 09:00:00
楚门中心小学,台州市,27,5,15,84,4,4,0.5,90,4,2,2026-04-30 09:00:00
之江高级中学,台州市,26,3,12,81,3,4,0.4,86,3,4,2026-04-30 09:00:00
育青中学,台州市,28,4,15,85,26,19,0.3,82,8,6,2026-04-30 09:00:00
新生中学,台州市,25,5,11,80,8,5,0.4,78,7,4,2026-04-30 09:00:00
仙居环监站,台州市,26,8,11,81,10,3,0.4,85,5,3,2026-04-30 09:00:00
临海环保大楼,台州市,31,5,12,99,14,10,0.4,91,7,5,2026-04-30 09:00:00
心湖站,台州市,26,5,9,83,12,9,0.4,77,6,4,2026-04-30 09:00:00
巾山实验小学,台州市,32,3,12,100,11,9,0.3,87,8,6,2026-04-30 09:00:00
三门环监楼,台州市,29,5,10,92,10,9,0.5,82,7,4,2026-04-30 09:00:00
硖石街道,嘉兴市,29,8,12,76,25,20,0.5,54,19,15,2026-04-30 09:00:00
高级中学,嘉兴市,30,7,16,89,28,21,0.4,72,24,19,2026-04-30 09:00:00
海宁监测大楼,嘉兴市,32,7,9,91,32,18,0.4,59,27,16,2026-04-30 09:00:00
茅盾小学,嘉兴市,35,5,22,89,31,24,0.5,53,21,18,2026-04-30 09:00:00
振东新六中站,嘉兴市,35,4,16,97,32,24,0.6,82,24,19,2026-04-30 09:00:00
文化中心,嘉兴市,36,10,15,77,27,25,0.7,50,19,18,2026-04-30 09:00:00
嘉善监测大楼,嘉兴市,38,6,12,89,35,26,0.3,56,32,24,2026-04-30 09:00:00
海盐商贸学校,嘉兴市,38,6,17,89,38,24,0.4,66,29,19,2026-04-30 09:00:00
平湖幼儿园,嘉兴市,39,9,24,79,33,27,0.5,53,23,21,2026-04-30 09:00:00
陆家桥村,嘉兴市,42,9,25,76,29,29,0.5,47,24,23,2026-04-30 09:00:00
气象观测台,嘉兴市,--,--,17,--,39,27,0.4,47,34,24,2026-04-30 09:00:00
植材小学,嘉兴市,28,8,11,88,19,11,0.6,54,18,14,2026-04-30 09:00:00
胜利社区,嘉兴市,--,7,13,--,29,26,0.5,49,23,21,2026-04-30 09:00:00
慈溪环保大楼,宁波市,38,6,18,95,27,26,0.6,81,21,17,2026-04-30 09:00:00
大桥市场,宁波市,35,5,14,103,27,24,0.4,94,15,10,2026-04-30 09:00:00
宁海城南站,宁波市,35,6,11,109,20,14,0.3,99,8,5,2026-04-30 09:00:00
