site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
青田中学,丽水市,25,4,7,77,10,6,0.4,72,12,6,2026-04-30 06:00:00
信访大楼,丽水市,29,7,6,92,5,9,0.4,93,6,6,2026-04-30 06:00:00
塔山小学,丽水市,27,6,8,86,9,6,0.3,80,14,8,2026-04-30 06:00:00
缙云中学,丽水市,25,5,10,79,10,4,0.5,81,8,3,2026-04-30 06:00:00
红星小学,丽水市,25,5,6,77,6,4,0.5,74,5,3,2026-04-30 06:00:00
景宁县政府,丽水市,24,4,6,75,7,5,0.5,71,5,4,2026-04-30 06:00:00
和平水厂,丽水市,23,8,23,72,20,12,0.5,78,8,4,2026-04-30 06:00:00
松阳监测楼,丽水市,23,7,29,67,13,16,0.4,74,8,6,2026-04-30 06:00:00
云和三中,丽水市,22,8,9,69,7,5,0.3,68,6,5,2026-04-30 06:00:00
遂昌民政局,丽水市,21,4,6,67,4,3,0.4,70,2,2,2026-04-30 06:00:00
遂昌中学,丽水市,--,5,7,59,6,--,0.3,64,4,--,2026-04-30 06:00:00
云和监测楼,丽水市,16,7,10,51,5,5,0.4,57,5,4,2026-04-30 06:00:00
龙泉环保大楼,丽水市,17,7,5,53,5,2,0.4,61,5,3,2026-04-30 06:00:00
庆元监测楼,丽水市,18,6,7,57,3,2,0.5,60,11,7,2026-04-30 06:00:00
粮食大楼,丽水市,18,8,7,55,5,3,0.4,60,5,3,2026-04-30 06:00:00
庆元气象局,丽水市,19,4,6,60,9,6,0.3,69,11,7,2026-04-30 06:00:00
之江高级中学,台州市,26,3,7,81,2,2,0.4,89,3,4,2026-04-30 06:00:00
仙居环监站,台州市,27,8,9,84,2,1,0.3,94,7,4,2026-04-30 06:00:00
巾山实验小学,台州市,25,3,14,79,9,7,0.3,86,10,6,2026-04-30 06:00:00
新生中学,台州市,25,7,9,77,4,4,0.4,73,8,4,2026-04-30 06:00:00
临海环保大楼,台州市,27,4,12,85,8,5,0.3,92,7,4,2026-04-30 06:00:00
楚门中心小学,台州市,28,4,12,89,2,2,0.5,96,5,3,2026-04-30 06:00:00
玉环环监站,台州市,29,9,11,90,5,1,0.3,96,7,--,2026-04-30 06:00:00
育青中学,台州市,26,4,12,82,21,13,0.3,83,6,5,2026-04-30 06:00:00
三门环监楼,台州市,23,6,12,73,12,10,0.5,89,7,4,2026-04-30 06:00:00
温岭环监站,台州市,23,5,11,73,4,2,0.3,80,7,5,2026-04-30 06:00:00
天台实验中学,台州市,26,5,11,83,11,10,0.4,83,8,6,2026-04-30 06:00:00
心湖站,台州市,21,5,7,67,6,5,0.4,87,6,4,2026-04-30 06:00:00
气象观测台,嘉兴市,68,9,36,30,61,44,0.4,60,29,20,2026-04-30 06:00:00
嘉善监测大楼,嘉兴市,64,4,41,37,57,42,0.4,63,27,21,2026-04-30 06:00:00
