site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
遂昌中学,丽水市,--,5,6,79,4,--,0.3,67,4,--,2026-04-30 08:00:00
红星小学,丽水市,24,5,7,76,6,3,0.5,75,4,2,2026-04-30 08:00:00
信访大楼,丽水市,28,7,8,89,6,9,0.5,91,5,6,2026-04-30 08:00:00
塔山小学,丽水市,28,4,11,89,6,3,0.3,84,10,6,2026-04-30 08:00:00
青田中学,丽水市,26,3,9,81,7,4,0.4,75,8,4,2026-04-30 08:00:00
云和监测楼,丽水市,20,7,10,64,5,5,0.4,56,4,3,2026-04-30 08:00:00
缙云中学,丽水市,20,5,19,61,12,7,0.5,77,8,3,2026-04-30 08:00:00
景宁县政府,丽水市,24,4,8,75,9,5,0.5,72,4,3,2026-04-30 08:00:00
遂昌民政局,丽水市,--,4,4,--,3,3,0.4,74,2,2,2026-04-30 08:00:00
松阳监测楼,丽水市,24,12,17,76,9,9,0.4,73,8,6,2026-04-30 08:00:00
粮食大楼,丽水市,19,8,10,58,11,8,0.4,57,4,2,2026-04-30 08:00:00
庆元气象局,丽水市,19,4,8,60,11,9,0.3,65,9,6,2026-04-30 08:00:00
庆元监测楼,丽水市,19,6,9,58,7,5,0.7,59,9,5,2026-04-30 08:00:00
龙泉环保大楼,丽水市,18,7,6,55,6,3,0.4,56,4,2,2026-04-30 08:00:00
和平水厂,丽水市,25,11,15,80,13,7,0.5,76,8,4,2026-04-30 08:00:00
云和三中,丽水市,22,7,11,68,3,3,0.3,66,5,4,2026-04-30 08:00:00
巾山实验小学,台州市,26,3,15,83,11,8,0.4,86,9,6,2026-04-30 08:00:00
仙居环监站,台州市,25,9,13,77,7,3,0.4,88,6,3,2026-04-30 08:00:00
之江高级中学,台州市,24,3,11,76,2,5,0.4,88,3,4,2026-04-30 08:00:00
三门环监楼,台州市,25,5,15,77,8,7,0.5,83,6,4,2026-04-30 08:00:00
天台实验中学,台州市,27,5,13,84,17,15,0.5,82,8,6,2026-04-30 08:00:00
玉环环监站,台州市,25,9,13,79,8,1,0.5,92,6,--,2026-04-30 08:00:00
临海环保大楼,台州市,29,5,14,90,11,8,0.3,92,7,4,2026-04-30 08:00:00
楚门中心小学,台州市,25,5,15,78,3,3,0.5,92,4,2,2026-04-30 08:00:00
育青中学,台州市,30,4,14,84,30,20,0.3,82,7,6,2026-04-30 08:00:00
新生中学,台州市,25,5,12,77,6,4,0.4,76,7,4,2026-04-30 08:00:00
心湖站,台州市,22,5,10,70,8,6,0.4,78,6,4,2026-04-30 08:00:00
温岭环监站,台州市,22,5,16,69,5,3,0.3,79,6,5,2026-04-30 08:00:00
胜利社区,嘉兴市,48,8,23,59,36,33,0.6,52,22,20,2026-04-30 08:00:00
气象观测台,嘉兴市,48,10,34,57,48,30,0.5,50,32,23,2026-04-30 08:00:00
陆家桥村,嘉兴市,48,9,38,48,35,33,0.6,46,23,22,2026-04-30 08:00:00
嘉善监测大楼,嘉兴市,45,6,34,63,41,31,0.4,54,30,24,2026-04-30 08:00:00
平湖幼儿园,嘉兴市,45,9,31,56,37,31,0.5,53,22,20,2026-04-30 08:00:00
海盐商贸学校,嘉兴市,41,5,22,73,41,27,0.3,64,28,18,2026-04-30 08:00:00
海宁监测大楼,嘉兴市,40,7,17,65,40,21,0.5,57,26,16,2026-04-30 08:00:00
文化中心,嘉兴市,36,10,22,58,26,25,0.7,49,18,18,2026-04-30 08:00:00
植材小学,嘉兴市,21,8,18,62,21,14,0.7,51,18,14,2026-04-30 08:00:00
茅盾小学,嘉兴市,36,5,35,64,30,25,0.6,51,20,17,2026-04-30 08:00:00
高级中学,嘉兴市,36,7,23,75,33,25,0.4,72,24,18,2026-04-30 08:00:00
硖石街道,嘉兴市,30,8,18,57,27,21,0.5,54,18,14,2026-04-30 08:00:00
振东新六中站,嘉兴市,33,5,20,87,32,23,0.7,83,23,18,2026-04-30 08:00:00
奉化教育局,宁波市,36,6,11,94,29,25,0.3,93,12,8,2026-04-30 08:00:00
石浦新港小学,宁波市,30,5,11,93,29,17,0.4,104,9,4,2026-04-30 08:00:00
钱湖水厂,宁波市,39,4,21,76,33,27,0.5,91,16,11,2026-04-30 08:00:00
慈溪环保大楼,宁波市,35,5,19,83,27,24,0.6,81,21,16,2026-04-30 08:00:00
宁海水利局,宁波市,31,6,14,98,16,12,0.3,99,9,6,2026-04-30 08:00:00
龙山公园,宁波市,42,5,17,60,29,29,0.5,75,18,15,2026-04-30 08:00:00
宁海城南站,宁波市,31,5,11,99,13,9,0.3,98,7,5,2026-04-30 08:00:00
大桥市场,宁波市,33,5,13,91,27,23,0.4,93,14,9,2026-04-30 08:00:00
姚江小学,宁波市,33,9,26,68,27,23,0.5,78,15,13,2026-04-30 08:00:00
慈溪实验小学,宁波市,33,5,19,83,24,23,0.5,80,19,15,2026-04-30 08:00:00
溪口政府大楼,宁波市,30,4,13,94,25,21,0.3,74,8,7,2026-04-30 08:00:00
文峰小学,宁波市,33,7,14,79,28,23,0.4,91,10,7,2026-04-30 08:00:00
桐庐江北,杭州市,28,5,10,89,20,16,0.5,89,10,9,2026-04-30 08:00:00
老年活动中心,杭州市,--,--,4,82,12,8,0.2,92,6,5,2026-04-30 08:00:00
桐庐江南,杭州市,26,5,10,83,17,16,0.5,90,11,9,2026-04-30 08:00:00
淳安环保大楼,杭州市,24,10,4,76,9,10,0.5,76,6,6,2026-04-30 08:00:00
海辰小学,杭州市,22,6,16,70,19,14,0.3,74,17,13,2026-04-30 08:00:00
第二中学,杭州市,23,4,21,73,16,14,0.4,69,9,8,2026-04-30 08:00:00
建德监测大楼,杭州市,17,7,10,54,14,11,0.5,56,8,6,2026-04-30 08:00:00
龙港,温州市,21,9,15,65,8,4,0.3,65,10,4,2026-04-30 08:00:00
龙港实验中学,温州市,22,8,13,68,6,4,0.3,74,7,4,2026-04-30 08:00:00
文成中学,温州市,23,7,8,72,5,2,0.3,74,8,--,2026-04-30 08:00:00
