site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
遂昌中学,丽水市,18,4,11,55,5,1,0.3,56,50,29,2026-04-29 08:00:00
云和监测楼,丽水市,23,5,11,71,9,6,0.4,88,38,22,2026-04-29 08:00:00
云和三中,丽水市,24,6,9,75,11,7,0.4,92,46,25,2026-04-29 08:00:00
龙泉环保大楼,丽水市,25,7,7,79,14,7,0.5,102,46,27,2026-04-29 08:00:00
庆元监测楼,丽水市,26,5,7,50,26,16,0.5,71,36,23,2026-04-29 08:00:00
和平水厂,丽水市,22,5,16,69,7,3,0.4,78,50,27,2026-04-29 08:00:00
粮食大楼,丽水市,25,8,9,79,14,10,0.5,99,--,27,2026-04-29 08:00:00
红星小学,丽水市,22,5,9,68,14,9,0.5,87,42,23,2026-04-29 08:00:00
松阳监测楼,丽水市,21,3,23,67,8,4,0.5,74,55,29,2026-04-29 08:00:00
遂昌民政局,丽水市,21,4,8,66,4,2,0.4,60,46,29,2026-04-29 08:00:00
庆元气象局,丽水市,32,4,8,65,32,22,0.7,88,41,24,2026-04-29 08:00:00
塔山小学,丽水市,47,5,17,87,47,24,0.4,105,60,28,2026-04-29 08:00:00
青田中学,丽水市,55,4,40,57,56,31,0.5,101,58,31,2026-04-29 08:00:00
缙云中学,丽水市,20,6,27,64,10,4,0.5,85,53,29,2026-04-29 08:00:00
景宁县政府,丽水市,21,4,8,66,11,9,0.5,90,42,23,2026-04-29 08:00:00
信访大楼,丽水市,27,7,11,85,7,5,0.5,92,56,27,2026-04-29 08:00:00
天台实验中学,台州市,27,5,14,86,12,11,0.4,88,45,25,2026-04-29 08:00:00
新生中学,台州市,27,5,16,86,18,8,0.4,90,46,24,2026-04-29 08:00:00
巾山实验小学,台州市,29,3,16,92,22,12,0.4,92,53,29,2026-04-29 08:00:00
之江高级中学,台州市,28,3,9,89,8,8,0.5,97,36,21,2026-04-29 08:00:00
楚门中心小学,台州市,29,5,17,91,18,9,0.5,98,42,19,2026-04-29 08:00:00
仙居环监站,台州市,29,9,12,92,19,6,0.3,91,51,27,2026-04-29 08:00:00
三门环监楼,台州市,29,5,9,91,10,6,0.5,87,43,24,2026-04-29 08:00:00
心湖站,台州市,30,5,8,93,12,6,0.4,91,46,24,2026-04-29 08:00:00
玉环环监站,台州市,28,9,11,88,23,11,0.5,100,37,19,2026-04-29 08:00:00
温岭环监站,台州市,25,5,14,77,19,4,0.3,82,45,25,2026-04-29 08:00:00
临海环保大楼,台州市,--,--,--,--,--,--,--,--,--,--,2026-04-29 08:00:00
育青中学,台州市,23,6,17,72,15,10,0.4,87,42,25,2026-04-29 08:00:00
植材小学,嘉兴市,27,7,14,85,9,7,0.6,92,25,13,2026-04-29 08:00:00
平湖幼儿园,嘉兴市,27,8,12,86,8,7,0.4,88,28,17,2026-04-29 08:00:00
文化中心,嘉兴市,26,9,8,81,8,6,0.5,83,29,18,2026-04-29 08:00:00
嘉善监测大楼,嘉兴市,24,3,26,75,15,10,0.2,85,31,18,2026-04-29 08:00:00
胜利社区,嘉兴市,27,6,9,86,8,7,0.4,88,30,18,2026-04-29 08:00:00
海宁监测大楼,嘉兴市,28,6,13,87,8,6,0.2,89,30,18,2026-04-29 08:00:00
茅盾小学,嘉兴市,28,4,25,89,11,8,0.3,91,28,17,2026-04-29 08:00:00
陆家桥村,嘉兴市,29,8,14,91,9,7,0.4,92,28,17,2026-04-29 08:00:00
振东新六中站,嘉兴市,27,3,19,85,9,7,0.5,94,30,20,2026-04-29 08:00:00
海盐商贸学校,嘉兴市,31,4,16,98,7,5,0.2,96,32,17,2026-04-29 08:00:00
高级中学,嘉兴市,31,7,19,97,9,6,0.3,95,33,16,2026-04-29 08:00:00
气象观测台,嘉兴市,25,9,22,78,10,8,0.3,89,31,17,2026-04-29 08:00:00
硖石街道,嘉兴市,26,7,4,81,7,5,0.5,83,28,15,2026-04-29 08:00:00
奉化教育局,宁波市,30,7,14,95,16,8,0.3,97,58,25,2026-04-29 08:00:00
溪口政府大楼,宁波市,30,4,12,95,17,10,0.2,97,40,20,2026-04-29 08:00:00
大桥市场,宁波市,30,5,16,93,14,6,0.3,96,47,22,2026-04-29 08:00:00
慈溪环保大楼,宁波市,30,4,16,94,11,5,0.4,97,37,21,2026-04-29 08:00:00
文峰小学,宁波市,30,7,10,94,12,5,0.4,94,40,21,2026-04-29 08:00:00
龙山公园,宁波市,32,4,9,100,8,5,0.3,96,34,17,2026-04-29 08:00:00
慈溪实验小学,宁波市,32,4,12,100,10,5,0.4,100,33,18,2026-04-29 08:00:00
姚江小学,宁波市,31,5,14,99,7,4,0.4,97,31,16,2026-04-29 08:00:00
宁海水利局,宁波市,32,5,14,100,9,4,0.3,97,49,25,2026-04-29 08:00:00
钱湖水厂,宁波市,30,4,18,94,13,6,0.4,101,41,18,2026-04-29 08:00:00
石浦新港小学,宁波市,34,6,12,106,14,4,0.4,103,40,19,2026-04-29 08:00:00
宁海城南站,宁波市,32,5,14,101,8,4,0.3,97,49,25,2026-04-29 08:00:00
海辰小学,杭州市,31,6,13,97,8,6,0.6,93,32,18,2026-04-29 08:00:00
淳安环保大楼,杭州市,30,10,5,93,1,1,0.5,89,20,13,2026-04-29 08:00:00
建德监测大楼,杭州市,23,7,10,72,3,2,0.5,73,32,19,2026-04-29 08:00:00
桐庐江南,杭州市,32,5,15,101,6,4,0.5,98,36,19,2026-04-29 08:00:00
桐庐江北,杭州市,35,5,16,109,4,2,0.6,105,36,21,2026-04-29 08:00:00
老年活动中心,杭州市,33,11,3,104,2,1,0.4,100,19,12,2026-04-29 08:00:00
第二中学,杭州市,29,4,18,91,2,1,0.4,92,32,18,2026-04-29 08:00:00
花园桥,温州市,25,6,17,73,25,11,0.4,91,40,18,2026-04-29 08:00:00
龙港,温州市,38,11,23,73,38,13,0.3,92,60,23,2026-04-29 08:00:00
文成中学,温州市,44,7,19,78,44,25,0.3,108,51,26,2026-04-29 08:00:00
灵溪,温州市,47,8,6,81,47,15,0.4,94,53,24,2026-04-29 08:00:00
罗阳,温州市,34,5,8,108,15,10,0.5,117,44,23,2026-04-29 08:00:00
苍南中学,温州市,53,8,18,78,54,27,0.4,102,58,27,2026-04-29 08:00:00
安阳新区,温州市,25,10,15,80,19,13,0.3,94,31,18,2026-04-29 08:00:00
平阳监测站,温州市,24,9,8,75,24,11,0.5,87,37,19,2026-04-29 08:00:00
乐成,温州市,28,5,12,89,9,5,0.4,100,41,21,2026-04-29 08:00:00
洞头气象局,温州市,30,7,8,95,25,9,0.5,98,40,19,2026-04-29 08:00:00
龙港实验中学,温州市,32,9,21,72,32,14,0.4,102,49,24,2026-04-29 08:00:00
柳市,温州市,32,4,13,100,23,10,0.3,108,47,25,2026-04-29 08:00:00
平阳县政府,温州市,30,6,13,81,30,14,0.6,94,47,24,2026-04-29 08:00:00
大峃,温州市,--,--,15,82,42,23,0.3,105,50,24,2026-04-29 08:00:00
瓯北,温州市,27,6,25,75,27,12,0.5,92,44,19,2026-04-29 08:00:00
泰顺实验中学,温州市,29,6,7,91,16,11,0.5,110,44,22,2026-04-29 08:00:00
上塘,温州市,25,5,10,79,25,11,0.5,100,48,22,2026-04-29 08:00:00
安吉城东,湖州市,27,5,5,84,3,4,0.2,86,17,13,2026-04-29 08:00:00
职教中心,湖州市,31,5,12,98,7,3,0.3,94,21,11,2026-04-29 08:00:00
地信科创园,湖州市,--,--,14,80,2,11,0.5,89,21,20,2026-04-29 08:00:00
春晖小学,湖州市,26,4,8,83,8,8,0.6,92,25,17,2026-04-29 08:00:00
龙山新区,湖州市,35,4,21,109,4,2,0.4,101,17,8,2026-04-29 08:00:00
安吉实验小学,湖州市,29,6,8,91,3,4,0.4,91,20,16,2026-04-29 08:00:00
丽湖小区,绍兴市,31,4,14,97,6,3,0.4,96,30,15,2026-04-29 08:00:00
城新小学,绍兴市,31,6,3,98,5,3,0.3,83,40,22,2026-04-29 08:00:00
钟楼站,绍兴市,23,4,13,73,11,7,0.4,83,39,20,2026-04-29 08:00:00
城东站,绍兴市,23,4,12,72,9,6,0.3,75,38,22,2026-04-29 08:00:00
马寅初初中,绍兴市,26,4,13,82,10,5,0.5,81,37,16,2026-04-29 08:00:00
青少年宫,绍兴市,29,6,9,92,8,5,0.3,80,43,21,2026-04-29 08:00:00
杨树畈,绍兴市,27,4,2,86,11,7,0.3,76,37,19,2026-04-29 08:00:00
岱山环保大楼,舟山市,30,4,11,96,14,6,0.4,100,34,17,2026-04-29 08:00:00
岱山高亭,舟山市,31,9,8,97,14,6,0.4,95,34,15,2026-04-29 08:00:00
嵊泗菜园,舟山市,33,7,7,105,13,6,0.3,106,27,15,2026-04-29 08:00:00
龙游二高,衢州市,25,5,9,78,4,3,0.3,76,52,29,2026-04-29 08:00:00
常山环保大楼,衢州市,26,4,14,83,3,2,0.4,87,--,--,2026-04-29 08:00:00
图书馆大楼,衢州市,26,4,17,81,4,2,0.2,86,44,24,2026-04-29 08:00:00
开化气象局,衢州市,26,5,5,82,5,1,0.2,80,26,11,2026-04-29 08:00:00
开化监测大楼,衢州市,29,7,6,90,2,2,0.4,88,19,10,2026-04-29 08:00:00
人民医院,衢州市,27,6,10,86,4,1,0.4,80,53,31,2026-04-29 08:00:00
衢州三中（市）,衢州市,24,6,20,76,5,2,0.4,80,43,26,2026-04-29 08:00:00
建设大楼,衢州市,30,5,16,93,4,2,0.4,94,51,28,2026-04-29 08:00:00
江山环保大楼,衢州市,27,5,5,84,2,1,0.4,79,51,27,2026-04-29 08:00:00
北苑,金华市,25,4,13,79,3,2,0.4,72,42,20,2026-04-29 08:00:00
武义北岭幼儿园,金华市,298,7,20,63,418,4,0.5,62,199,38,2026-04-29 08:00:00
兰溪八中,金华市,21,7,11,67,3,1,0.4,67,41,23,2026-04-29 08:00:00
江东,金华市,25,5,11,77,4,2,0.4,70,46,21,2026-04-29 08:00:00
广厦学院,金华市,21,5,18,65,8,4,0.6,77,42,18,2026-04-29 08:00:00
西城供电所,金华市,25,5,9,77,12,6,0.3,77,66,33,2026-04-29 08:00:00
浦江实验中学,金华市,27,5,8,85,1,1,0.3,83,45,19,2026-04-29 08:00:00
国税大楼,金华市,26,8,13,82,5,1,0.5,88,50,30,2026-04-29 08:00:00
永康一中,金华市,26,7,12,81,10,5,0.4,82,58,29,2026-04-29 08:00:00
浦江中学,金华市,24,3,12,75,4,1,0.4,76,44,21,2026-04-29 08:00:00
兰溪监测站,金华市,24,6,9,74,2,1,0.5,74,35,23,2026-04-29 08:00:00
武义县政府,金华市,22,8,14,70,10,4,0.5,68,64,36,2026-04-29 08:00:00
东阳环保大楼,金华市,21,6,14,65,7,6,0.6,74,32,19,2026-04-29 08:00:00
儿童公园,金华市,24,5,16,75,5,2,0.7,72,55,25,2026-04-29 08:00:00
第五中学,金华市,25,6,15,80,4,2,0.5,70,50,19,2026-04-29 08:00:00
南园初中,金华市,25,5,11,80,7,4,0.4,87,47,29,2026-04-29 08:00:00
