site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
庆元监测楼,丽水市,18,6,10,55,18,7,0.6,51,33,20,2026-04-29 12:00:00
松阳监测楼,丽水市,25,4,18,78,7,4,0.5,70,47,25,2026-04-29 12:00:00
云和三中,丽水市,25,6,7,80,4,5,0.4,78,37,20,2026-04-29 12:00:00
云和监测楼,丽水市,24,6,11,75,4,2,0.4,73,32,18,2026-04-29 12:00:00
和平水厂,丽水市,26,5,13,83,3,1,0.4,76,42,23,2026-04-29 12:00:00
景宁县政府,丽水市,22,4,8,68,5,4,0.5,75,37,19,2026-04-29 12:00:00
粮食大楼,丽水市,22,8,11,68,6,3,0.4,79,--,22,2026-04-29 12:00:00
遂昌中学,丽水市,22,5,10,68,3,1,0.3,57,41,23,2026-04-29 12:00:00
缙云中学,丽水市,22,6,28,69,6,2,0.5,69,44,23,2026-04-29 12:00:00
遂昌民政局,丽水市,25,4,8,79,3,2,0.4,67,37,24,2026-04-29 12:00:00
青田中学,丽水市,22,4,17,68,4,2,0.4,72,51,27,2026-04-29 12:00:00
塔山小学,丽水市,22,5,20,70,11,7,0.4,85,56,26,2026-04-29 12:00:00
庆元气象局,丽水市,--,--,7,61,20,6,0.6,67,38,22,2026-04-29 12:00:00
红星小学,丽水市,22,5,9,69,2,1,0.5,75,36,19,2026-04-29 12:00:00
龙泉环保大楼,丽水市,20,7,8,63,7,4,0.5,81,39,22,2026-04-29 12:00:00
信访大楼,丽水市,30,7,11,95,5,3,0.5,88,43,22,2026-04-29 12:00:00
三门环监楼,台州市,30,5,13,93,7,4,0.5,93,33,18,2026-04-29 12:00:00
仙居环监站,台州市,28,8,13,88,8,4,0.3,89,43,21,2026-04-29 12:00:00
巾山实验小学,台州市,32,3,16,100,12,7,0.3,95,42,23,2026-04-29 12:00:00
新生中学,台州市,29,4,14,92,11,6,0.4,87,38,20,2026-04-29 12:00:00
心湖站,台州市,29,5,10,92,5,3,0.3,94,34,17,2026-04-29 12:00:00
玉环环监站,台州市,31,9,8,97,6,2,0.5,95,34,18,2026-04-29 12:00:00
临海环保大楼,台州市,31,5,19,97,10,5,0.3,--,--,--,2026-04-29 12:00:00
之江高级中学,台州市,29,3,12,91,3,3,0.5,92,30,18,2026-04-29 12:00:00
温岭环监站,台州市,25,5,15,80,8,5,0.3,80,37,21,2026-04-29 12:00:00
育青中学,台州市,26,3,16,81,2,2,0.3,85,33,20,2026-04-29 12:00:00
楚门中心小学,台州市,--,4,--,97,6,2,0.5,96,36,17,2026-04-29 12:00:00
天台实验中学,台州市,25,5,17,77,7,5,0.4,86,36,20,2026-04-29 12:00:00
植材小学,嘉兴市,28,8,15,87,8,7,0.6,87,19,10,2026-04-29 12:00:00
硖石街道,嘉兴市,22,7,18,70,7,5,0.4,79,21,12,2026-04-29 12:00:00
陆家桥村,嘉兴市,28,8,18,89,9,9,0.5,90,20,14,2026-04-29 12:00:00
气象观测台,嘉兴市,29,8,23,90,14,9,0.3,85,25,14,2026-04-29 12:00:00
振东新六中站,嘉兴市,31,4,29,98,10,7,0.5,92,24,16,2026-04-29 12:00:00
高级中学,嘉兴市,31,6,18,99,11,9,0.3,97,24,13,2026-04-29 12:00:00
茅盾小学,嘉兴市,27,4,31,84,10,7,0.3,84,21,14,2026-04-29 12:00:00
平湖幼儿园,嘉兴市,27,7,17,84,9,8,0.4,84,21,14,2026-04-29 12:00:00
海宁监测大楼,嘉兴市,24,5,23,75,10,6,0.3,85,23,14,2026-04-29 12:00:00
海盐商贸学校,嘉兴市,29,4,20,92,7,6,0.2,96,23,13,2026-04-29 12:00:00
嘉善监测大楼,嘉兴市,--,3,26,85,--,--,--,82,26,16,2026-04-29 12:00:00
文化中心,嘉兴市,24,9,17,76,8,6,0.5,77,21,14,2026-04-29 12:00:00
胜利社区,嘉兴市,25,6,19,77,8,7,0.4,83,22,14,2026-04-29 12:00:00
大桥市场,宁波市,30,5,19,96,11,6,0.3,94,37,17,2026-04-29 12:00:00
石浦新港小学,宁波市,36,6,10,114,9,3,0.4,108,34,15,2026-04-29 12:00:00
宁海城南站,宁波市,33,6,14,103,6,4,0.3,100,39,19,2026-04-29 12:00:00
溪口政府大楼,宁波市,33,4,12,103,8,5,0.2,96,31,16,2026-04-29 12:00:00
慈溪环保大楼,宁波市,31,4,16,97,16,10,0.4,98,28,15,2026-04-29 12:00:00
慈溪实验小学,宁波市,31,4,13,99,9,5,0.4,102,24,13,2026-04-29 12:00:00
宁海水利局,宁波市,33,6,18,103,8,4,0.3,99,40,19,2026-04-29 12:00:00
龙山公园,宁波市,29,4,13,91,10,6,0.4,96,26,13,2026-04-29 12:00:00
文峰小学,宁波市,29,7,12,92,8,4,0.4,93,32,16,2026-04-29 12:00:00
姚江小学,宁波市,30,6,17,94,9,7,0.4,96,23,13,2026-04-29 12:00:00
奉化教育局,宁波市,32,6,17,102,11,6,0.3,98,45,19,2026-04-29 12:00:00
钱湖水厂,宁波市,30,3,22,96,11,5,0.4,96,31,14,2026-04-29 12:00:00
老年活动中心,杭州市,32,12,4,101,5,4,0.3,101,15,10,2026-04-29 12:00:00
桐庐江南,杭州市,33,5,17,105,4,3,0.5,100,26,15,2026-04-29 12:00:00
建德监测大楼,杭州市,25,6,11,80,4,2,0.5,79,24,15,2026-04-29 12:00:00
第二中学,杭州市,32,4,11,102,2,1,0.4,96,24,15,2026-04-29 12:00:00
淳安环保大楼,杭州市,28,9,7,88,2,2,0.5,89,14,11,2026-04-29 12:00:00
海辰小学,杭州市,24,6,28,76,9,8,0.7,90,25,15,2026-04-29 12:00:00
桐庐江北,杭州市,36,5,17,113,4,3,0.5,109,25,16,2026-04-29 12:00:00
文成中学,温州市,21,7,14,65,18,11,0.3,84,48,24,2026-04-29 12:00:00
花园桥,温州市,22,6,14,70,4,3,0.4,75,33,15,2026-04-29 12:00:00
乐成,温州市,30,5,10,93,2,2,0.4,90,34,18,2026-04-29 12:00:00
洞头气象局,温州市,30,7,9,96,14,2,0.5,97,37,17,2026-04-29 12:00:00
平阳监测站,温州市,20,9,11,63,12,6,0.5,73,34,17,2026-04-29 12:00:00
大峃,温州市,21,7,14,67,9,6,0.3,84,45,22,2026-04-29 12:00:00
安阳新区,温州市,--,--,15,70,5,5,0.3,77,26,16,2026-04-29 12:00:00
苍南中学,温州市,22,8,22,68,21,13,0.5,80,54,25,2026-04-29 12:00:00
龙港,温州市,22,10,22,69,13,6,0.4,74,51,20,2026-04-29 12:00:00
瓯北,温州市,28,6,17,87,8,3,0.5,80,39,16,2026-04-29 12:00:00
上塘,温州市,--,4,8,89,3,1,--,87,43,20,2026-04-29 12:00:00
灵溪,温州市,27,8,12,73,27,12,0.4,81,53,22,2026-04-29 12:00:00
柳市,温州市,30,3,16,96,6,4,0.4,100,43,22,2026-04-29 12:00:00
泰顺实验中学,温州市,26,6,8,83,3,2,0.5,93,39,20,2026-04-29 12:00:00
龙港实验中学,温州市,25,9,20,80,10,5,0.4,81,43,21,2026-04-29 12:00:00
平阳县政府,温州市,22,6,18,69,14,7,0.7,80,42,21,2026-04-29 12:00:00
罗阳,温州市,30,4,11,94,4,3,0.5,103,38,20,2026-04-29 12:00:00
龙山新区,湖州市,31,4,24,99,6,4,0.4,106,13,6,2026-04-29 12:00:00
安吉城东,湖州市,32,5,5,101,4,5,0.2,94,12,10,2026-04-29 12:00:00
地信科创园,湖州市,--,--,16,84,3,9,0.4,88,14,16,2026-04-29 12:00:00
职教中心,湖州市,30,5,15,95,11,4,0.2,96,16,9,2026-04-29 12:00:00
安吉实验小学,湖州市,32,6,9,102,8,9,0.3,94,14,13,2026-04-29 12:00:00
春晖小学,湖州市,27,4,12,85,8,7,0.6,89,18,13,2026-04-29 12:00:00
钟楼站,绍兴市,29,4,11,90,8,5,0.4,81,30,15,2026-04-29 12:00:00
杨树畈,绍兴市,25,5,11,79,9,6,0.3,81,30,15,2026-04-29 12:00:00
城东站,绍兴市,25,4,10,79,7,5,0.3,76,30,17,2026-04-29 12:00:00
马寅初初中,绍兴市,27,4,15,84,5,2,0.5,82,31,14,2026-04-29 12:00:00
丽湖小区,绍兴市,32,4,13,102,5,3,0.4,98,24,12,2026-04-29 12:00:00
青少年宫,绍兴市,27,7,14,85,8,4,0.3,88,35,17,2026-04-29 12:00:00
城新小学,绍兴市,28,6,8,89,6,5,0.3,90,32,18,2026-04-29 12:00:00
岱山高亭,舟山市,--,7,7,109,--,6,0.3,99,27,11,2026-04-29 12:00:00
岱山环保大楼,舟山市,34,5,9,106,16,7,0.4,99,26,12,2026-04-29 12:00:00
嵊泗菜园,舟山市,34,7,6,108,15,8,0.4,106,20,11,2026-04-29 12:00:00
建设大楼,衢州市,35,5,14,111,3,1,0.3,100,30,16,2026-04-29 12:00:00
图书馆大楼,衢州市,--,4,13,92,5,--,0.2,86,32,--,2026-04-29 12:00:00
江山环保大楼,衢州市,--,5,--,88,--,3,0.5,83,34,18,2026-04-29 12:00:00
