site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
遂昌中学,丽水市,18,5,11,55,6,2,0.3,58,52,30,2026-04-29 07:00:00
缙云中学,丽水市,27,6,13,85,14,8,0.4,90,55,30,2026-04-29 07:00:00
信访大楼,丽水市,28,7,8,89,13,8,0.5,94,58,28,2026-04-29 07:00:00
庆元监测楼,丽水市,28,5,7,54,28,16,0.6,78,37,24,2026-04-29 07:00:00
云和监测楼,丽水市,25,6,11,77,23,15,0.4,94,39,22,2026-04-29 07:00:00
粮食大楼,丽水市,31,8,9,87,31,20,0.4,103,--,27,2026-04-29 07:00:00
和平水厂,丽水市,23,5,20,72,14,6,0.4,81,52,28,2026-04-29 07:00:00
庆元气象局,丽水市,32,4,8,83,32,22,0.6,94,42,25,2026-04-29 07:00:00
云和三中,丽水市,26,7,8,81,23,13,0.5,98,48,26,2026-04-29 07:00:00
龙泉环保大楼,丽水市,33,7,6,88,33,20,0.5,107,48,28,2026-04-29 07:00:00
红星小学,丽水市,36,5,9,71,36,23,0.5,90,43,23,2026-04-29 07:00:00
青田中学,丽水市,51,4,13,79,51,29,0.5,111,58,31,2026-04-29 07:00:00
塔山小学,丽水市,56,6,14,89,58,28,0.4,111,62,28,2026-04-29 07:00:00
松阳监测楼,丽水市,20,3,24,64,11,7,0.5,76,56,30,2026-04-29 07:00:00
遂昌民政局,丽水市,20,4,9,61,4,2,0.4,63,47,30,2026-04-29 07:00:00
景宁县政府,丽水市,32,4,7,72,26,22,0.6,93,42,23,2026-04-29 07:00:00
心湖站,台州市,31,5,6,97,16,8,0.4,90,47,25,2026-04-29 07:00:00
仙居环监站,台州市,30,8,10,93,23,7,0.3,92,53,28,2026-04-29 07:00:00
玉环环监站,台州市,30,9,9,94,21,9,0.4,104,38,20,2026-04-29 07:00:00
三门环监楼,台州市,29,5,9,92,14,8,0.5,86,45,25,2026-04-29 07:00:00
之江高级中学,台州市,28,3,7,88,10,10,0.5,100,38,22,2026-04-29 07:00:00
天台实验中学,台州市,28,5,13,88,15,12,0.4,90,46,25,2026-04-29 07:00:00
育青中学,台州市,27,6,16,84,13,9,0.3,90,44,26,2026-04-29 07:00:00
新生中学,台州市,27,5,14,84,20,9,0.4,92,47,25,2026-04-29 07:00:00
巾山实验小学,台州市,30,3,15,95,27,14,0.4,94,54,29,2026-04-29 07:00:00
楚门中心小学,台州市,29,5,17,91,20,9,0.4,101,43,20,2026-04-29 07:00:00
临海环保大楼,台州市,--,--,--,--,--,--,--,--,--,--,2026-04-29 07:00:00
温岭环监站,台州市,24,6,13,74,21,4,0.3,85,45,26,2026-04-29 07:00:00
高级中学,嘉兴市,31,6,17,97,11,7,0.3,94,34,17,2026-04-29 07:00:00
文化中心,嘉兴市,29,9,4,91,6,5,0.5,84,31,18,2026-04-29 07:00:00
气象观测台,嘉兴市,28,8,16,88,11,9,0.3,91,33,19,2026-04-29 07:00:00
嘉善监测大楼,嘉兴市,28,4,16,87,10,7,0.2,87,33,19,2026-04-29 07:00:00
平湖幼儿园,嘉兴市,28,8,11,88,9,8,0.4,87,30,18,2026-04-29 07:00:00
海盐商贸学校,嘉兴市,31,3,11,98,8,6,0.2,94,33,17,2026-04-29 07:00:00
胜利社区,嘉兴市,28,6,9,87,9,8,0.4,88,31,18,2026-04-29 07:00:00
茅盾小学,嘉兴市,30,4,19,95,7,6,0.3,90,30,17,2026-04-29 07:00:00
陆家桥村,嘉兴市,30,8,10,95,9,7,0.4,91,30,18,2026-04-29 07:00:00
植材小学,嘉兴市,30,8,9,94,9,6,0.6,92,26,13,2026-04-29 07:00:00
硖石街道,嘉兴市,27,7,2,85,8,5,0.5,82,29,16,2026-04-29 07:00:00
振东新六中站,嘉兴市,33,3,15,103,7,5,0.4,94,32,21,2026-04-29 07:00:00
海宁监测大楼,嘉兴市,30,5,13,93,9,6,0.2,88,31,19,2026-04-29 07:00:00
钱湖水厂,宁波市,30,4,15,94,14,6,0.4,102,43,19,2026-04-29 07:00:00
文峰小学,宁波市,30,7,10,94,13,6,0.4,94,42,22,2026-04-29 07:00:00
宁海水利局,宁波市,30,6,16,96,15,7,0.3,96,52,27,2026-04-29 07:00:00
龙山公园,宁波市,30,4,9,96,10,5,0.4,96,36,17,2026-04-29 07:00:00
奉化教育局,宁波市,31,6,12,99,15,7,0.3,97,60,26,2026-04-29 07:00:00
姚江小学,宁波市,31,6,12,98,9,5,0.4,97,33,17,2026-04-29 07:00:00
慈溪环保大楼,宁波市,31,4,14,97,12,6,0.4,98,39,21,2026-04-29 07:00:00
溪口政府大楼,宁波市,30,4,11,95,18,11,0.3,97,42,21,2026-04-29 07:00:00
宁海城南站,宁波市,31,6,14,97,14,8,0.3,96,51,26,2026-04-29 07:00:00
石浦新港小学,宁波市,34,6,11,108,14,4,0.4,102,41,20,2026-04-29 07:00:00
大桥市场,宁波市,29,5,15,92,17,8,0.3,96,49,23,2026-04-29 07:00:00
慈溪实验小学,宁波市,32,4,10,102,10,5,0.4,101,35,18,2026-04-29 07:00:00
桐庐江北,杭州市,35,5,12,111,4,2,0.6,103,38,22,2026-04-29 07:00:00
第二中学,杭州市,29,4,12,90,2,2,0.4,92,36,19,2026-04-29 07:00:00
淳安环保大楼,杭州市,29,9,4,92,1,1,0.5,88,22,15,2026-04-29 07:00:00
桐庐江南,杭州市,33,5,11,104,4,3,0.5,96,38,20,2026-04-29 07:00:00
建德监测大楼,杭州市,24,7,7,76,3,2,0.5,71,36,22,2026-04-29 07:00:00
老年活动中心,杭州市,32,12,3,102,2,1,0.4,98,21,14,2026-04-29 07:00:00
海辰小学,杭州市,29,6,14,90,13,9,0.7,91,34,20,2026-04-29 07:00:00
柳市,温州市,33,4,14,97,33,13,0.3,110,48,25,2026-04-29 07:00:00
文成中学,温州市,52,7,11,90,52,27,0.3,115,51,26,2026-04-29 07:00:00
上塘,温州市,31,5,10,90,31,13,0.4,105,49,23,2026-04-29 07:00:00
花园桥,温州市,26,6,14,81,24,10,0.4,96,41,18,2026-04-29 07:00:00
灵溪,温州市,48,8,4,86,48,15,0.4,101,53,25,2026-04-29 07:00:00
大峃,温州市,46,6,12,87,46,23,0.3,110,50,24,2026-04-29 07:00:00
苍南中学,温州市,45,8,13,87,45,21,0.4,108,57,27,2026-04-29 07:00:00
泰顺实验中学,温州市,44,6,6,99,44,26,0.5,114,45,23,2026-04-29 07:00:00
龙港实验中学,温州市,33,9,17,90,33,15,0.3,109,50,24,2026-04-29 07:00:00
