site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
景宁县政府,丽水市,--,--,--,140,77,28,0.5,114,36,24,2026-04-28 17:00:00
缙云中学,丽水市,56,8,30,126,58,30,0.5,137,59,36,2026-04-28 17:00:00
粮食大楼,丽水市,--,9,20,81,--,41,0.6,114,35,25,2026-04-28 17:00:00
云和三中,丽水市,53,7,12,139,54,29,0.4,119,60,33,2026-04-28 17:00:00
塔山小学,丽水市,53,5,14,119,54,21,0.4,134,64,30,2026-04-28 17:00:00
青田中学,丽水市,53,5,20,111,53,26,0.4,141,62,31,2026-04-28 17:00:00
信访大楼,丽水市,58,8,24,133,61,29,0.6,146,69,35,2026-04-28 17:00:00
红星小学,丽水市,50,6,5,134,50,22,0.5,117,41,23,2026-04-28 17:00:00
遂昌民政局,丽水市,63,5,12,170,64,39,0.5,148,52,29,2026-04-28 17:00:00
云和监测楼,丽水市,42,7,8,134,39,22,0.4,116,35,22,2026-04-28 17:00:00
遂昌中学,丽水市,65,5,13,162,70,40,0.5,135,52,29,2026-04-28 17:00:00
和平水厂,丽水市,74,7,14,138,77,47,0.5,113,51,28,2026-04-28 17:00:00
龙泉环保大楼,丽水市,74,9,19,82,72,47,0.6,110,53,29,2026-04-28 17:00:00
松阳监测楼,丽水市,85,5,19,140,99,52,0.6,119,54,28,2026-04-28 17:00:00
庆元气象局,丽水市,43,5,9,110,43,25,0.7,114,42,27,2026-04-28 17:00:00
庆元监测楼,丽水市,--,6,11,81,39,26,--,106,42,27,2026-04-28 17:00:00
育青中学,台州市,55,7,17,162,56,31,0.5,149,54,29,2026-04-28 17:00:00
新生中学,台州市,60,6,10,158,63,34,0.6,136,46,27,2026-04-28 17:00:00
巾山实验小学,台州市,62,5,14,168,66,37,0.5,147,64,33,2026-04-28 17:00:00
心湖站,台州市,62,9,17,168,66,36,0.5,157,58,31,2026-04-28 17:00:00
三门环监楼,台州市,63,8,16,148,67,38,0.7,143,55,34,2026-04-28 17:00:00
临海环保大楼,台州市,58,7,14,164,60,33,0.5,143,52,25,2026-04-28 17:00:00
玉环环监站,台州市,65,10,13,157,71,41,0.6,130,40,24,2026-04-28 17:00:00
天台实验中学,台州市,65,8,16,168,71,33,0.5,151,56,30,2026-04-28 17:00:00
之江高级中学,台州市,59,4,7,159,62,34,0.5,141,44,22,2026-04-28 17:00:00
楚门中心小学,台州市,--,7,--,153,82,38,0.7,131,46,22,2026-04-28 17:00:00
仙居环监站,台州市,66,9,9,143,72,32,0.5,127,54,31,2026-04-28 17:00:00
温岭环监站,台州市,76,7,11,136,69,48,0.4,116,43,27,2026-04-28 17:00:00
文化中心,嘉兴市,27,9,25,69,27,15,0.5,77,66,35,2026-04-28 17:00:00
振东新六中站,嘉兴市,28,4,40,82,28,17,0.5,91,75,39,2026-04-28 17:00:00
气象观测台,嘉兴市,37,9,35,70,37,17,0.4,84,57,33,2026-04-28 17:00:00
海宁监测大楼,嘉兴市,27,7,34,69,27,17,0.3,84,71,36,2026-04-28 17:00:00
海盐商贸学校,嘉兴市,29,5,26,91,23,12,0.2,101,51,30,2026-04-28 17:00:00
高级中学,嘉兴市,26,8,32,82,26,11,0.4,102,56,27,2026-04-28 17:00:00
嘉善监测大楼,嘉兴市,37,4,40,67,37,20,0.3,81,66,34,2026-04-28 17:00:00
茅盾小学,嘉兴市,26,4,43,75,26,14,0.4,84,65,34,2026-04-28 17:00:00
陆家桥村,嘉兴市,--,8,--,85,26,15,0.5,85,59,30,2026-04-28 17:00:00
胜利社区,嘉兴市,28,7,31,64,28,16,0.5,85,71,34,2026-04-28 17:00:00
平湖幼儿园,嘉兴市,26,8,21,82,26,15,0.4,87,55,30,2026-04-28 17:00:00
硖石街道,嘉兴市,26,7,19,82,20,10,0.4,85,62,33,2026-04-28 17:00:00
植材小学,嘉兴市,25,8,26,72,25,10,0.6,82,64,32,2026-04-28 17:00:00
文峰小学,宁波市,59,8,15,151,62,30,0.6,157,51,26,2026-04-28 17:00:00
石浦新港小学,宁波市,60,7,23,164,64,34,0.5,168,47,25,2026-04-28 17:00:00
慈溪环保大楼,宁波市,51,5,21,102,51,29,0.5,124,72,38,2026-04-28 17:00:00
钱湖水厂,宁波市,50,5,18,128,50,23,0.5,152,59,27,2026-04-28 17:00:00
溪口政府大楼,宁波市,55,6,17,132,56,28,0.4,147,58,32,2026-04-28 17:00:00
姚江小学,宁波市,44,7,20,114,44,22,0.5,132,64,35,2026-04-28 17:00:00
大桥市场,宁波市,56,8,21,133,58,26,0.4,149,67,33,2026-04-28 17:00:00
慈溪实验小学,宁波市,43,5,15,107,43,22,0.5,129,70,33,2026-04-28 17:00:00
宁海水利局,宁波市,66,8,22,161,72,34,0.4,175,59,31,2026-04-28 17:00:00
宁海城南站,宁波市,68,8,24,158,75,37,0.4,173,59,32,2026-04-28 17:00:00
奉化教育局,宁波市,73,9,17,139,82,31,0.4,152,72,31,2026-04-28 17:00:00
龙山公园,宁波市,50,5,16,112,50,25,0.5,128,66,36,2026-04-28 17:00:00
桐庐江北,杭州市,57,6,33,92,59,35,0.7,110,80,38,2026-04-28 17:00:00
淳安环保大楼,杭州市,--,--,10,90,44,37,0.7,106,47,26,2026-04-28 17:00:00
老年活动中心,杭州市,--,--,9,101,42,30,0.5,118,44,25,2026-04-28 17:00:00
建德监测大楼,杭州市,65,7,9,98,70,39,0.6,110,54,30,2026-04-28 17:00:00
海辰小学,杭州市,31,7,31,83,31,15,0.4,94,67,36,2026-04-28 17:00:00
桐庐江南,杭州市,57,6,35,92,59,33,0.7,111,71,38,2026-04-28 17:00:00
第二中学,杭州市,63,4,15,110,67,41,0.6,115,57,21,2026-04-28 17:00:00
罗阳,温州市,60,6,10,138,63,35,0.5,129,49,28,2026-04-28 17:00:00
龙港,温州市,61,9,19,109,65,23,0.4,113,66,26,2026-04-28 17:00:00
柳市,温州市,63,4,12,135,67,38,0.5,128,38,19,2026-04-28 17:00:00
洞头气象局,温州市,54,7,10,139,55,35,0.5,110,38,20,2026-04-28 17:00:00
文成中学,温州市,47,8,5,149,47,21,0.2,136,42,25,2026-04-28 17:00:00
瓯北,温州市,47,7,18,99,47,16,0.6,113,44,19,2026-04-28 17:00:00
大峃,温州市,52,8,9,138,52,22,0.3,130,49,26,2026-04-28 17:00:00
灵溪,温州市,52,8,14,108,52,17,0.4,122,40,26,2026-04-28 17:00:00
乐成,温州市,53,6,10,126,54,28,0.4,118,35,18,2026-04-28 17:00:00
泰顺实验中学,温州市,53,7,8,147,54,25,0.5,130,48,25,2026-04-28 17:00:00
平阳县政府,温州市,39,6,5,118,39,18,0.7,131,45,26,2026-04-28 17:00:00
安阳新区,温州市,38,10,3,119,26,10,0.6,122,43,20,2026-04-28 17:00:00
平阳监测站,温州市,36,9,2,115,31,15,0.6,123,37,24,2026-04-28 17:00:00
花园桥,温州市,35,6,7,111,31,13,0.4,119,46,23,2026-04-28 17:00:00
苍南中学,温州市,53,9,12,112,53,23,0.5,139,48,24,2026-04-28 17:00:00
上塘,温州市,51,5,9,117,51,21,0.4,120,46,22,2026-04-28 17:00:00
龙港实验中学,温州市,48,9,12,128,48,22,0.5,144,53,27,2026-04-28 17:00:00
地信科创园,湖州市,30,6,25,75,23,21,0.4,80,51,33,2026-04-28 17:00:00
安吉实验小学,湖州市,30,7,11,95,15,12,0.4,88,49,30,2026-04-28 17:00:00
安吉城东,湖州市,28,5,7,87,15,10,0.3,80,40,26,2026-04-28 17:00:00
春晖小学,湖州市,27,5,23,71,27,18,0.5,81,56,31,2026-04-28 17:00:00
龙山新区,湖州市,26,4,27,81,17,8,0.4,89,47,26,2026-04-28 17:00:00
职教中心,湖州市,25,5,24,79,23,10,0.3,86,53,27,2026-04-28 17:00:00
钟楼站,绍兴市,55,5,12,149,56,26,0.5,150,60,33,2026-04-28 17:00:00
城新小学,绍兴市,49,8,9,129,49,24,0.4,141,73,39,2026-04-28 17:00:00
青少年宫,绍兴市,57,8,15,129,59,26,0.4,140,74,41,2026-04-28 17:00:00
丽湖小区,绍兴市,47,5,12,135,47,24,0.5,140,61,35,2026-04-28 17:00:00
马寅初初中,绍兴市,51,5,15,126,51,19,0.5,134,60,30,2026-04-28 17:00:00
