site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
信访大楼,丽水市,63,8,20,121,67,30,0.6,138,72,35,2026-04-28 21:00:00
云和三中,丽水市,44,6,11,124,44,22,0.4,135,55,30,2026-04-28 21:00:00
景宁县政府,丽水市,44,5,7,121,44,22,0.5,132,38,23,2026-04-28 21:00:00
红星小学,丽水市,45,5,9,112,45,26,0.5,126,42,23,2026-04-28 21:00:00
遂昌民政局,丽水市,52,4,11,92,52,34,0.5,139,52,30,2026-04-28 21:00:00
遂昌中学,丽水市,52,5,14,84,52,29,0.5,128,53,30,2026-04-28 21:00:00
庆元监测楼,丽水市,42,10,7,134,34,22,0.7,100,41,27,2026-04-28 21:00:00
缙云中学,丽水市,64,8,32,111,69,34,0.5,124,62,37,2026-04-28 21:00:00
松阳监测楼,丽水市,61,5,23,96,65,34,0.6,119,54,28,2026-04-28 21:00:00
青田中学,丽水市,57,4,7,123,59,31,0.5,127,60,30,2026-04-28 21:00:00
粮食大楼,丽水市,90,9,7,116,105,27,0.5,96,--,27,2026-04-28 21:00:00
塔山小学,丽水市,61,6,12,117,65,29,0.4,130,64,30,2026-04-28 21:00:00
云和监测楼,丽水市,38,7,10,121,37,20,0.4,131,36,22,2026-04-28 21:00:00
和平水厂,丽水市,50,6,17,96,50,31,0.5,115,52,30,2026-04-28 21:00:00
庆元气象局,丽水市,49,8,13,141,49,25,0.8,116,42,27,2026-04-28 21:00:00
龙泉环保大楼,丽水市,46,8,7,129,46,25,0.5,97,53,29,2026-04-28 21:00:00
三门环监楼,台州市,41,7,15,103,41,20,0.6,137,56,34,2026-04-28 21:00:00
楚门中心小学,台州市,51,5,15,142,51,27,0.6,147,53,26,2026-04-28 21:00:00
心湖站,台州市,44,8,14,109,44,21,0.4,151,57,32,2026-04-28 21:00:00
巾山实验小学,台州市,63,6,16,128,68,35,0.5,156,66,35,2026-04-28 21:00:00
温岭环监站,台州市,54,6,11,113,55,28,0.4,127,49,32,2026-04-28 21:00:00
之江高级中学,台州市,42,4,6,130,42,26,0.5,152,48,25,2026-04-28 21:00:00
临海环保大楼,台州市,55,7,15,122,57,29,0.4,150,54,27,2026-04-28 21:00:00
育青中学,台州市,48,7,16,124,48,31,0.5,153,56,31,2026-04-28 21:00:00
新生中学,台州市,69,7,13,134,76,40,0.6,146,50,29,2026-04-28 21:00:00
天台实验中学,台州市,45,8,17,118,45,26,0.5,153,55,30,2026-04-28 21:00:00
仙居环监站,台州市,73,9,13,121,81,43,0.5,136,58,33,2026-04-28 21:00:00
玉环环监站,台州市,46,9,7,146,45,23,0.6,150,44,26,2026-04-28 21:00:00
胜利社区,嘉兴市,31,6,12,81,31,20,0.4,75,62,31,2026-04-28 21:00:00
振东新六中站,嘉兴市,35,4,24,86,35,24,0.6,85,65,35,2026-04-28 21:00:00
植材小学,嘉兴市,26,8,13,83,22,12,0.5,78,57,28,2026-04-28 21:00:00
陆家桥村,嘉兴市,27,8,15,85,26,17,0.5,81,53,27,2026-04-28 21:00:00
茅盾小学,嘉兴市,27,4,26,80,27,18,0.4,79,55,30,2026-04-28 21:00:00
海盐商贸学校,嘉兴市,33,4,20,85,33,19,0.3,90,49,28,2026-04-28 21:00:00
嘉善监测大楼,嘉兴市,33,4,24,78,33,21,0.3,75,59,31,2026-04-28 21:00:00
硖石街道,嘉兴市,33,7,15,68,33,20,0.5,75,54,29,2026-04-28 21:00:00
文化中心,嘉兴市,30,9,14,72,30,21,0.6,70,57,30,2026-04-28 21:00:00
气象观测台,嘉兴市,31,9,18,86,31,20,0.4,79,51,29,2026-04-28 21:00:00
平湖幼儿园,嘉兴市,32,7,17,80,31,22,0.4,82,50,27,2026-04-28 21:00:00
高级中学,嘉兴市,31,7,20,88,31,18,0.3,89,52,25,2026-04-28 21:00:00
海宁监测大楼,嘉兴市,34,5,18,80,34,20,0.3,73,62,32,2026-04-28 21:00:00
大桥市场,宁波市,42,7,21,94,42,19,0.3,125,65,32,2026-04-28 21:00:00
奉化教育局,宁波市,45,8,18,97,45,20,0.3,129,71,31,2026-04-28 21:00:00
石浦新港小学,宁波市,38,6,13,120,35,15,0.4,155,50,26,2026-04-28 21:00:00
宁海城南站,宁波市,49,9,20,107,49,22,0.3,152,61,33,2026-04-28 21:00:00
溪口政府大楼,宁波市,33,6,15,99,33,16,0.3,125,54,30,2026-04-28 21:00:00
宁海水利局,宁波市,49,9,22,105,49,22,0.4,152,62,33,2026-04-28 21:00:00
文峰小学,宁波市,34,8,11,107,30,14,0.5,141,51,27,2026-04-28 21:00:00
慈溪实验小学,宁波市,34,5,10,107,23,12,0.5,117,61,30,2026-04-28 21:00:00
钱湖水厂,宁波市,32,4,18,100,29,12,0.4,126,57,25,2026-04-28 21:00:00
慈溪环保大楼,宁波市,33,5,14,103,27,14,0.4,112,63,33,2026-04-28 21:00:00
姚江小学,宁波市,33,6,16,103,21,12,0.4,118,54,30,2026-04-28 21:00:00
龙山公园,宁波市,33,5,10,103,24,12,0.4,116,56,30,2026-04-28 21:00:00
建德监测大楼,杭州市,25,7,14,71,25,16,0.5,91,52,30,2026-04-28 21:00:00
老年活动中心,杭州市,--,--,4,106,5,3,0.4,106,36,21,2026-04-28 21:00:00
桐庐江南,杭州市,28,5,20,85,28,15,0.6,94,63,33,2026-04-28 21:00:00
第二中学,杭州市,29,4,17,90,23,16,0.5,100,54,21,2026-04-28 21:00:00
桐庐江北,杭州市,30,5,19,94,22,15,0.6,99,72,34,2026-04-28 21:00:00
淳安环保大楼,杭州市,31,10,4,97,4,3,0.5,96,39,24,2026-04-28 21:00:00
海辰小学,杭州市,35,6,22,78,35,22,0.6,84,60,34,2026-04-28 21:00:00
瓯北,温州市,57,7,15,130,59,28,0.6,106,46,21,2026-04-28 21:00:00
灵溪,温州市,55,8,4,141,57,26,0.4,124,47,26,2026-04-28 21:00:00
安阳新区,温州市,--,--,--,138,--,28,0.6,124,46,21,2026-04-28 21:00:00
平阳监测站,温州市,50,9,2,136,50,24,0.6,125,40,25,2026-04-28 21:00:00
花园桥,温州市,59,6,14,132,62,28,0.5,120,50,24,2026-04-28 21:00:00
龙港实验中学,温州市,59,9,16,143,62,30,0.5,140,58,29,2026-04-28 21:00:00
平阳县政府,温州市,54,6,6,142,55,27,0.7,131,47,27,2026-04-28 21:00:00
苍南中学,温州市,--,--,--,144,65,32,0.6,136,53,26,2026-04-28 21:00:00
柳市,温州市,70,5,10,151,77,41,0.5,138,47,25,2026-04-28 21:00:00
上塘,温州市,66,6,9,144,72,39,0.6,123,49,23,2026-04-28 21:00:00
大峃,温州市,41,5,5,120,41,17,0.3,134,46,23,2026-04-28 21:00:00
乐成,温州市,65,6,11,147,70,40,0.5,134,40,21,2026-04-28 21:00:00
龙港,温州市,63,9,14,128,67,27,0.4,118,71,28,2026-04-28 21:00:00
罗阳,温州市,42,6,12,120,42,21,0.4,130,46,25,2026-04-28 21:00:00
泰顺实验中学,温州市,44,7,10,117,44,21,0.4,134,48,25,2026-04-28 21:00:00
洞头气象局,温州市,53,7,7,127,53,25,0.6,127,40,20,2026-04-28 21:00:00
文成中学,温州市,43,7,3,128,43,19,0.2,142,41,24,2026-04-28 21:00:00
安吉城东,湖州市,23,5,7,71,12,10,0.2,77,36,23,2026-04-28 21:00:00
地信科创园,湖州市,35,7,17,74,16,24,0.4,76,45,31,2026-04-28 21:00:00
职教中心,湖州市,29,5,15,92,23,15,0.4,84,42,21,2026-04-28 21:00:00
春晖小学,湖州市,30,5,14,70,28,21,0.5,72,47,27,2026-04-28 21:00:00
龙山新区,湖州市,31,4,19,97,20,10,0.5,87,36,19,2026-04-28 21:00:00
安吉实验小学,湖州市,33,6,14,68,22,23,0.4,80,43,28,2026-04-28 21:00:00
马寅初初中,绍兴市,31,4,14,94,31,12,0.5,120,58,29,2026-04-28 21:00:00
钟楼站,绍兴市,32,5,12,102,31,14,0.4,135,57,31,2026-04-28 21:00:00
丽湖小区,绍兴市,34,5,12,107,24,13,0.4,130,57,32,2026-04-28 21:00:00
城东站,绍兴市,37,5,12,91,37,20,0.4,119,51,31,2026-04-28 21:00:00
青少年宫,绍兴市,48,6,32,56,48,27,0.4,107,68,37,2026-04-28 21:00:00
城新小学,绍兴市,47,7,21,62,47,26,0.4,114,66,36,2026-04-28 21:00:00
杨树畈,绍兴市,40,5,17,62,40,16,0.3,107,60,35,2026-04-28 21:00:00
嵊泗菜园,舟山市,33,7,8,104,21,12,0.4,106,38,21,2026-04-28 21:00:00
岱山高亭,舟山市,31,9,7,98,19,7,0.4,105,44,21,2026-04-28 21:00:00
岱山环保大楼,舟山市,34,5,10,108,19,8,0.4,114,48,25,2026-04-28 21:00:00
开化气象局,衢州市,25,5,9,79,14,8,0.3,92,38,18,2026-04-28 21:00:00
开化监测大楼,衢州市,27,7,11,86,10,5,0.5,100,30,15,2026-04-28 21:00:00
图书馆大楼,衢州市,30,4,15,94,29,16,0.4,108,60,28,2026-04-28 21:00:00
龙游二高,衢州市,50,5,15,72,50,28,0.4,106,82,42,2026-04-28 21:00:00
江山环保大楼,衢州市,44,6,12,87,44,29,0.7,117,76,37,2026-04-28 21:00:00
建设大楼,衢州市,43,5,25,86,43,26,0.5,118,83,43,2026-04-28 21:00:00
人民医院,衢州市,53,6,18,80,53,34,0.7,116,73,42,2026-04-28 21:00:00
常山环保大楼,衢州市,--,--,--,--,--,--,--,--,--,--,2026-04-28 21:00:00
衢州三中（市）,衢州市,39,7,21,78,39,26,0.5,111,67,39,2026-04-28 21:00:00
儿童公园,金华市,53,6,24,69,53,20,0.7,117,93,44,2026-04-28 21:00:00
兰溪监测站,金华市,26,6,17,65,26,18,0.6,95,58,34,2026-04-28 21:00:00
永康一中,金华市,50,7,14,125,50,24,0.4,146,78,39,2026-04-28 21:00:00
兰溪八中,金华市,29,6,17,58,29,19,0.5,82,63,36,2026-04-28 21:00:00
浦江实验中学,金华市,37,6,16,76,37,18,0.4,115,67,29,2026-04-28 21:00:00
武义北岭幼儿园,金华市,52,8,26,90,50,36,0.5,138,71,43,2026-04-28 21:00:00
西城供电所,金华市,59,6,13,112,62,39,0.4,135,101,45,2026-04-28 21:00:00
江东,金华市,35,6,22,76,35,19,0.5,121,78,34,2026-04-28 21:00:00
东阳环保大楼,金华市,31,7,14,94,31,17,0.6,120,79,44,2026-04-28 21:00:00
北苑,金华市,35,5,22,75,35,16,0.4,120,75,40,2026-04-28 21:00:00
第五中学,金华市,51,7,27,72,51,15,0.6,121,91,35,2026-04-28 21:00:00
南园初中,金华市,57,6,10,142,59,32,0.6,154,55,33,2026-04-28 21:00:00
广厦学院,金华市,48,5,15,97,48,22,0.6,126,82,36,2026-04-28 21:00:00
浦江中学,金华市,43,4,24,68,43,13,0.4,113,71,37,2026-04-28 21:00:00
国税大楼,金华市,58,8,11,139,59,39,0.6,152,60,35,2026-04-28 21:00:00
武义县政府,金华市,55,9,23,96,56,23,0.5,146,74,45,2026-04-28 21:00:00
