,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,330824,21,29.1478,优,--,11,9,29,优,#00E400,#00E400,7,开化监测大楼,#00E400,13,优,优,优,330800,#00E400,118.4108,#00E400,9,优,0.4,优,#00E400,#00E400,330824002,优,#00E400,衢州市,#00E400,优,10,8,#00E400,1,2026-05-02 07:00:00
1,优,331126,50,27.629585,优,--,14,8,59,优,#00E400,#00E400,6,庆元监测楼,#00E400,16,优,优,优,331100,#00E400,119.054809,#00E400,8,优,0.5,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,12,9,#00E400,2,2026-05-02 07:00:00
2,优,330824,25,29.1343,优,--,19,8,29,优,#00E400,#00E400,6,开化气象局,#00E400,19,优,优,优,330800,#00E400,118.402,#00E400,10,优,0.3,优,#00E400,#00E400,330824001,优,#00E400,衢州市,#00E400,优,19,9,#00E400,3,2026-05-02 07:00:00
3,优,330127,66,29.605,优,--,23,5,74,优,#00E400,#00E400,13,老年活动中心,#00E400,21,优,优,优,330100,#00E400,119.0372,#00E400,12,优,0.6,优,#00E400,#00E400,330127T_4,优,#00E400,杭州市,#00E400,优,17,16,#00E400,4,2026-05-02 07:00:00
4,优,331125,69,28.1173,优,--,16,10,82,优,#00E400,#00E400,6,云和监测楼,#00E400,22,优,优,优,331100,#00E400,119.5626,#00E400,14,优,0.4,优,#00E400,#00E400,331125001,优,#00E400,丽水市,#00E400,优,18,11,#00E400,5,2026-05-02 07:00:00
5,优,331123,29,28.5991,优,--,20,11,35,优,#00E400,#00E400,4,遂昌民政局,#00E400,23,优,优,优,331100,#00E400,119.2622,#00E400,14,优,0.4,优,#00E400,#00E400,331123001,优,#00E400,丽水市,#00E400,优,23,14,#00E400,6,2026-05-02 07:00:00
6,优,331181,26,28.076,优,--,21,10,32,优,#00E400,#00E400,9,粮食大楼,#00E400,23,优,优,优,331100,#00E400,119.1217,#00E400,14,优,0.4,优,#00E400,#00E400,331181002,优,#00E400,丽水市,#00E400,优,23,12,#00E400,6,2026-05-02 07:00:00
7,优,331127,54,28.002222,优,--,23,8,55,优,#00E400,#00E400,5,红星小学,#00E400,24,优,优,优,331100,#00E400,119.636389,#00E400,15,优,0.5,优,#00E400,#00E400,331127003,优,#00E400,丽水市,#00E400,优,24,14,#00E400,8,2026-05-02 07:00:00
8,优,330326,75,27.6593,优,--,28,8,85,优,#00E400,#00E400,9,平阳监测站,#00E400,25,优,优,优,330300,#00E400,120.5705,#00E400,17,优,0.6,优,#00E400,#00E400,330326001,优,#00E400,温州市,#00E400,优,24,17,#00E400,9,2026-05-02 07:00:00
9,优,330727,64,29.051486,优,--,22,20,69,优,#00E400,#00E400,8,国税大楼,#00E400,25,优,优,优,330700,#00E400,120.438346,#00E400,16,优,0.6,优,#00E400,#00E400,330727002,优,#00E400,金华市,#00E400,优,25,15,#00E400,9,2026-05-02 07:00:00
10,优,331125,61,28.1062,优,--,18,14,90,优,#00E400,#00E400,7,云和三中,#00E400,25,优,优,优,331100,#00E400,119.5728,#00E400,16,优,0.6,优,#00E400,#00E400,331125002,优,#00E400,丽水市,#00E400,优,25,12,#00E400,9,2026-05-02 07:00:00
11,优,331127,45,27.9772,优,--,17,9,61,优,#00E400,#00E400,4,景宁县政府,#00E400,25,优,优,优,331100,#00E400,119.6311,#00E400,17,优,0.6,优,#00E400,#00E400,331127002,优,#00E400,丽水市,#00E400,优,16,14,#00E400,9,2026-05-02 07:00:00
12,优,330726,61,29.465746,优,--,28,12,68,优,#00E400,#00E400,6,浦江实验中学,#00E400,27,优,优,优,330700,#00E400,119.875227,#00E400,16,优,0.4,优,#00E400,#00E400,330726001,优,#00E400,金华市,#00E400,优,27,14,#00E400,13,2026-05-02 07:00:00
13,优,330727,55,29.039869,优,--,22,21,52,优,#00E400,#00E400,6,南园初中,#00E400,28,优,优,优,330700,#00E400,120.440622,#00E400,17,优,0.5,优,#00E400,#00E400,330727003,优,#00E400,金华市,#00E400,优,28,14,#00E400,14,2026-05-02 07:00:00
