,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,330824,38,29.1478,优,--,12,13,55,优,#00E400,#00E400,7,开化监测大楼,#00E400,12,优,优,优,330800,#00E400,118.4108,#00E400,6,优,0.4,优,#00E400,#00E400,330824002,优,#00E400,衢州市,#00E400,优,6,8,#00E400,1,2026-05-02 02:00:00
1,优,331181,35,28.076,优,--,19,9,48,优,#00E400,#00E400,8,粮食大楼,#00E400,16,优,优,优,331100,#00E400,119.1217,#00E400,10,优,0.5,优,#00E400,#00E400,331181002,优,#00E400,丽水市,#00E400,优,16,11,#00E400,2,2026-05-02 02:00:00
2,优,330824,29,29.1343,优,--,18,11,52,优,#00E400,#00E400,5,开化气象局,#00E400,18,优,优,优,330800,#00E400,118.402,#00E400,7,优,0.3,优,#00E400,#00E400,330824001,优,#00E400,衢州市,#00E400,优,18,7,#00E400,3,2026-05-02 02:00:00
3,优,331123,39,28.5991,优,--,20,11,52,优,#00E400,#00E400,4,遂昌民政局,#00E400,18,优,优,优,331100,#00E400,119.2622,#00E400,11,优,0.4,优,#00E400,#00E400,331123001,优,#00E400,丽水市,#00E400,优,18,14,#00E400,3,2026-05-02 02:00:00
4,优,330182,40,29.4769,优,--,22,15,67,优,#00E400,#00E400,6,建德监测大楼,#00E400,20,优,优,优,330100,#00E400,119.2711,#00E400,14,优,0.5,优,#00E400,#00E400,330182T_2,优,#00E400,杭州市,#00E400,优,3,14,#00E400,5,2026-05-02 02:00:00
5,优,331123,49,28.5839,优,--,17,8,60,优,#00E400,#00E400,6,遂昌中学,#00E400,20,优,优,优,331100,#00E400,119.2656,#00E400,11,优,0.4,优,#00E400,#00E400,331123002,优,#00E400,丽水市,#00E400,优,20,12,#00E400,5,2026-05-02 02:00:00
6,优,331126,62,27.629585,优,--,14,7,70,优,#00E400,#00E400,6,庆元监测楼,#00E400,20,优,优,优,331100,#00E400,119.054809,#00E400,10,优,0.5,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,13,8,#00E400,5,2026-05-02 02:00:00
7,优,330127,64,29.5995,优,--,22,7,84,优,#00E400,#00E400,10,淳安环保大楼,#00E400,22,优,优,优,330100,#00E400,119.0481,#00E400,15,优,0.5,优,#00E400,#00E400,330127001,优,#00E400,杭州市,#00E400,优,21,14,#00E400,8,2026-05-02 02:00:00
8,优,330726,72,29.465746,优,--,26,11,84,优,#00E400,#00E400,5,浦江实验中学,#00E400,23,优,优,优,330700,#00E400,119.875227,#00E400,9,优,0.4,优,#00E400,#00E400,330726001,优,#00E400,金华市,#00E400,优,18,13,#00E400,9,2026-05-02 02:00:00
9,优,330127,77,29.605,优,--,21,6,93,优,#00E400,#00E400,13,老年活动中心,#00E400,25,优,优,优,330100,#00E400,119.0372,#00E400,13,优,0.6,优,#00E400,#00E400,330127T_4,优,#00E400,杭州市,#00E400,优,18,15,#00E400,10,2026-05-02 02:00:00
10,优,330727,58,29.039869,优,--,22,29,59,优,#00E400,#00E400,6,南园初中,#00E400,25,优,优,优,330700,#00E400,120.440622,#00E400,15,优,0.4,优,#00E400,#00E400,330727003,优,#00E400,金华市,#00E400,优,25,14,#00E400,10,2026-05-02 02:00:00
11,优,330182,36,29.4638,优,--,25,38,61,优,#00E400,#00E400,3,第二中学,#00E400,26,优,优,优,330100,#00E400,119.2821,#00E400,15,优,0.7,优,#00E400,#00E400,330182002,优,#00E400,杭州市,#00E400,优,26,15,#00E400,12,2026-05-02 02:00:00
12,优,330329,82,27.557,优,--,21,8,97,优,#00E400,#00E400,6,罗阳,#00E400,26,优,优,优,330300,#00E400,119.7084,#00E400,16,优,0.5,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,24,14,#00E400,12,2026-05-02 02:00:00
13,良,331122,81,28.6628,优,--,19,29,114,优,#00E400,#00E400,7,信访大楼,#FFFF00,26,优,优,优,331100,#00E400,120.0856,#00E400,15,优,0.6,优,#00E400,#00E400,331122002,优,#00E400,丽水市,#00E400,优,22,12,#00E400,12,2026-05-02 02:00:00
14,优,331127,68,27.9772,优,--,17,11,72,优,#00E400,#00E400,4,景宁县政府,#00E400,26,优,优,优,331100,#00E400,119.6311,#00E400,18,优,0.5,优,#00E400,#00E400,331127002,优,#00E400,丽水市,#00E400,优,18,13,#00E400,12,2026-05-02 02:00:00
15,优,330726,44,29.439787,优,--,28,24,61,优,#00E400,#00E400,4,浦江中学,#00E400,27,优,优,优,330700,#00E400,119.924638,#00E400,13,优,0.4,优,#00E400,#00E400,330726002,优,#00E400,金华市,#00E400,优,27,16,#00E400,16,2026-05-02 02:00:00
16,良,331126,84,27.6211,优,--,13,7,110,优,#00E400,#00E400,4,庆元气象局,#FFFF00,27,优,优,优,331100,#00E400,119.0788,#00E400,11,优,0.3,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,13,10,#00E400,16,2026-05-02 02:00:00
17,优,331024,71,28.7403,优,--,22,12,90,优,#00E400,#00E400,6,新生中学,#00E400,28,优,优,优,331000,#00E400,120.4728,#00E400,14,优,0.4,优,#00E400,#00E400,331024002,优,#00E400,台州市,#00E400,优,28,14,#00E400,18,2026-05-02 02:00:00
18,优,331125,89,28.1173,优,--,17,12,90,优,#00E400,#00E400,7,云和监测楼,#00E400,28,优,优,优,331100,#00E400,119.5626,#00E400,12,优,0.4,优,#00E400,#00E400,331125001,优,#00E400,丽水市,#00E400,优,18,12,#00E400,18,2026-05-02 02:00:00
19,优,330213,81,29.693,优,--,27,15,90,优,#00E400,#00E400,4,溪口政府大楼,#00E400,29,优,优,优,330200,#00E400,121.2774,#00E400,20,优,0.3,优,#00E400,#00E400,330283T_1,优,#00E400,宁波市,#00E400,优,26,20,#00E400,20,2026-05-02 02:00:00
20,优,331121,74,28.1094,优,--,28,7,100,优,#00E400,#00E400,4,青田中学,#00E400,29,优,优,优,331100,#00E400,120.3161,#00E400,19,优,0.5,优,#00E400,#00E400,331121002,优,#00E400,丽水市,#00E400,优,29,16,#00E400,20,2026-05-02 02:00:00
21,优,330328,62,27.7838,优,--,23,9,92,优,#00E400,#00E400,7,大峃,#00E400,30,优,优,优,330300,#00E400,120.085,#00E400,19,优,0.4,优,#00E400,#00E400,330328001,优,#00E400,温州市,#00E400,优,30,14,#00E400,22,2026-05-02 02:00:00
22,优,330681,29,29.6818,优,--,23,18,77,优,#00E400,#00E400,4,杨树畈,#00E400,30,优,优,优,330600,#00E400,120.2359,#00E400,21,优,0.5,优,#00E400,#00E400,330681001,优,#00E400,绍兴市,#00E400,优,30,14,#00E400,22,2026-05-02 02:00:00
23,优,331127,56,28.002222,优,--,21,9,61,优,#00E400,#00E400,5,红星小学,#00E400,31,优,优,优,331100,#00E400,119.636389,#00E400,19,优,0.5,优,#00E400,#00E400,331127003,优,#00E400,丽水市,#00E400,优,31,13,#00E400,24,2026-05-02 02:00:00
24,优,330122,46,29.7955,优,--,28,40,89,优,#00E400,#00E400,5,桐庐江南,#00E400,32,优,优,优,330100,#00E400,119.6874,#00E400,22,优,0.6,优,#00E400,#00E400,330122001,优,#00E400,杭州市,#00E400,优,31,20,#00E400,25,2026-05-02 02:00:00
25,良,330329,87,27.5438,优,--,20,9,108,优,#00E400,#00E400,9,泰顺实验中学,#FFFF00,32,优,优,优,330300,#00E400,119.716111,#00E400,22,优,0.4,优,#00E400,#00E400,330329002,优,#00E400,温州市,#00E400,优,30,12,#00E400,25,2026-05-02 02:00:00
26,优,330881,64,28.7282,优,--,29,16,91,优,#00E400,#00E400,6,人民医院,#00E400,32,优,优,优,330800,#00E400,118.6227,#00E400,20,优,0.5,优,#00E400,#00E400,330881002,优,#00E400,衢州市,#00E400,优,32,17,#00E400,25,2026-05-02 02:00:00
27,优,330723,95,28.9178,优,--,22,16,73,优,#00E400,#00E400,7,武义北岭幼儿园,#00E400,32,优,优,优,330700,#00E400,119.8022,#00E400,16,优,0.5,优,#00E400,#00E400,330723003,优,#00E400,金华市,#00E400,优,32,22,#00E400,25,2026-05-02 02:00:00
28,良,330324,79,28.044335,优,--,29,30,110,优,#00E400,#00E400,7,瓯北,#FFFF00,33,优,优,优,330300,#00E400,120.654963,#00E400,23,优,0.5,优,#00E400,#00E400,330324002,优,#00E400,温州市,#00E400,优,30,18,#00E400,29,2026-05-02 02:00:00
29,良,330326,103,27.6653,优,--,25,8,126,优,#00E400,#00E400,6,平阳县政府,#FFFF00,33,优,优,优,330300,#00E400,120.5611,#00E400,21,优,0.6,优,#00E400,#00E400,330326002,优,#00E400,温州市,#00E400,优,30,19,#00E400,29,2026-05-02 02:00:00
30,良,330683,80,29.5663,优,--,28,28,114,优,#00E400,#00E400,4,丽湖小区,#FFFF00,33,优,优,优,330600,#00E400,120.8173,#00E400,23,优,0.5,优,#00E400,#00E400,330683002,优,#00E400,绍兴市,#00E400,优,32,15,#00E400,29,2026-05-02 02:00:00
31,良,330624,86,29.5036,优,--,27,17,112,优,#00E400,#00E400,5,钟楼站,#FFFF00,33,优,优,优,330600,#00E400,120.8938,#00E400,19,优,0.5,优,#00E400,#00E400,330624001,优,#00E400,绍兴市,#00E400,优,33,17,#00E400,29,2026-05-02 02:00:00
32,良,331024,85,28.8589,优,--,30,11,104,优,#00E400,#00E400,9,仙居环监站,#FFFF00,33,优,优,优,331000,#00E400,120.7248,#00E400,23,优,0.4,优,#00E400,#00E400,331024001,优,#00E400,台州市,#00E400,优,32,17,#00E400,29,2026-05-02 02:00:00
33,良,331082,60,28.873,优,--,32,30,110,优,#00E400,#00E400,4,临海环保大楼,#FFFF00,33,优,优,优,331000,#00E400,121.1769,#00E400,21,优,0.4,优,#00E400,#00E400,331082001,优,#00E400,台州市,#00E400,优,33,19,#00E400,29,2026-05-02 02:00:00
34,良,331124,103,28.4505,优,--,25,14,103,优,#00E400,#00E400,5,松阳监测楼,#FFFF00,33,优,优,优,331100,#00E400,119.4799,#00E400,15,优,0.4,优,#00E400,#00E400,331124001,优,#00E400,丽水市,#00E400,优,28,15,#00E400,29,2026-05-02 02:00:00
35,良,331125,104,28.1062,优,--,17,10,115,优,#00E400,#00E400,7,云和三中,#FFFF00,33,优,优,优,331100,#00E400,119.5728,#00E400,12,优,0.5,优,#00E400,#00E400,331125002,优,#00E400,丽水市,#00E400,优,21,14,#00E400,29,2026-05-02 02:00:00
36,良,330381,87,27.791645,优,--,29,13,106,优,#00E400,#00E400,6,花园桥,#FFFF00,34,优,优,优,330300,#00E400,120.62372,#00E400,20,优,0.4,优,#00E400,#00E400,330381001,优,#00E400,温州市,#00E400,优,34,17,#00E400,37,2026-05-02 02:00:00
37,良,330326,92,27.6593,优,--,36,5,110,优,#00E400,#00E400,9,平阳监测站,#FFFF00,34,优,优,优,330300,#00E400,120.5705,#00E400,21,优,0.6,优,#00E400,#00E400,330326001,优,#00E400,温州市,#00E400,优,34,18,#00E400,37,2026-05-02 02:00:00
38,优,330782,77,29.305096,优,--,36,22,93,优,#00E400,#00E400,6,江东,#00E400,34,优,优,优,330700,#00E400,120.090442,#00E400,18,优,0.6,优,#00E400,#00E400,330782002,优,#00E400,金华市,#00E400,优,34,17,#00E400,37,2026-05-02 02:00:00
39,优,330822,47,28.9012,优,--,25,33,71,优,#00E400,#00E400,4,图书馆大楼,#00E400,35,优,优,优,330800,#00E400,118.5062,#00E400,14,优,0.2,优,#00E400,#00E400,330822002,优,#00E400,衢州市,#00E400,优,35,10,#00E400,40,2026-05-02 02:00:00
40,良,331124,112,28.4516,优,--,26,10,106,优,#00E400,#00E400,6,和平水厂,#FFFF00,35,优,优,优,331100,#00E400,119.4699,#00E400,15,优,0.4,优,#00E400,#00E400,331124002,优,#00E400,丽水市,#00E400,优,23,15,#00E400,40,2026-05-02 02:00:00
41,良,330483,111,30.7369,优,--,37,10,130,优,#00E400,#00E400,9,植材小学,#FFFF00,35,优,优,优,330400,#00E400,120.4902,#00E400,24,优,0.6,优,#00E400,#00E400,330483509,优,#00E400,嘉兴市,#00E400,优,35,21,#00E400,40,2026-05-02 02:00:00
42,良,330226,74,29.2878,优,--,30,12,118,优,#00E400,#00E400,6,宁海城南站,#FFFF00,36,优,优,优,330200,#00E400,121.4201,#00E400,25,优,0.4,优,#00E400,#00E400,330226002,优,#00E400,宁波市,#00E400,优,31,22,#00E400,43,2026-05-02 02:00:00
43,优,330327,65,27.503889,优,--,28,13,89,优,#00E400,#00E400,8,灵溪,#00E400,36,优,优,优,330300,#00E400,120.395278,#00E400,25,优,0.5,优,#00E400,#00E400,330327001,优,#00E400,温州市,#00E400,优,35,15,#00E400,43,2026-05-02 02:00:00
44,良,330481,107,30.5137,优,--,38,13,116,优,#00E400,#00E400,8,硖石街道,#FFFF00,36,优,优,优,330400,#00E400,120.7082,#00E400,23,优,0.3,优,#00E400,#00E400,330481002,优,#00E400,嘉兴市,#00E400,优,36,25,#00E400,43,2026-05-02 02:00:00
45,优,330681,57,29.726389,优,--,29,27,94,优,#00E400,#00E400,6,青少年宫,#00E400,36,优,优,优,330600,#00E400,120.199722,#00E400,23,优,0.4,优,#00E400,#00E400,330681002,优,#00E400,绍兴市,#00E400,优,36,18,#00E400,43,2026-05-02 02:00:00
46,良,331081,98,28.39136,优,--,34,6,123,优,#00E400,#00E400,4,之江高级中学,#FFFF00,36,优,优,优,331000,#00E400,121.37696,#00E400,20,优,0.4,优,#00E400,#00E400,331081002,优,#00E400,台州市,#00E400,优,36,25,#00E400,43,2026-05-02 02:00:00
47,良,331122,114,28.6574,优,--,18,10,118,优,#00E400,#00E400,8,缙云中学,#FFFF00,36,优,优,优,331100,#00E400,120.0696,#00E400,16,优,0.4,优,#00E400,#00E400,331122001,优,#00E400,丽水市,#00E400,优,23,12,#00E400,43,2026-05-02 02:00:00
48,优,330324,60,28.158269,优,--,28,18,88,优,#00E400,#00E400,5,上塘,#00E400,37,优,优,优,330300,#00E400,120.694244,#00E400,20,优,0.5,优,#00E400,#00E400,330324001,优,#00E400,温州市,#00E400,优,37,17,#00E400,49,2026-05-02 02:00:00
49,优,330723,44,28.896108,优,--,33,19,61,优,#00E400,#00E400,9,武义县政府,#00E400,37,优,优,优,330700,#00E400,119.811352,#00E400,23,优,0.6,优,#00E400,#00E400,330723001,优,#00E400,金华市,#00E400,优,37,20,#00E400,49,2026-05-02 02:00:00
50,优,330781,116,29.229931,优,--,25,10,86,优,#00E400,#00E400,9,兰溪八中,#00E400,37,优,优,优,330700,#00E400,119.475172,#00E400,16,优,0.4,优,#00E400,#00E400,330781002,优,#00E400,金华市,#00E400,优,17,19,#00E400,49,2026-05-02 02:00:00
51,良,330481,117,30.5524,优,--,40,6,130,优,#00E400,#00E400,8,胜利社区,#FFFF00,37,优,优,优,330400,#00E400,120.6713,#00E400,22,优,0.5,优,#00E400,#00E400,330481003,优,#00E400,嘉兴市,#00E400,优,36,25,#00E400,49,2026-05-02 02:00:00
52,良,330226,86,29.3125,优,--,30,14,135,优,#00E400,#00E400,6,宁海水利局,#FFFF00,38,优,优,优,330200,#00E400,121.4306,#00E400,26,优,0.4,优,#00E400,#00E400,330226001,优,#00E400,宁波市,#00E400,优,34,22,#00E400,53,2026-05-02 02:00:00
53,良,330382,121,28.1209,优,--,27,15,127,优,#00E400,#00E400,5,乐成,#FFFF00,38,优,优,优,330300,#00E400,120.9659,#00E400,25,优,0.6,优,#00E400,#00E400,330382001,优,#00E400,温州市,#00E400,优,33,18,#00E400,53,2026-05-02 02:00:00
